,compare,aor,task,data type
0,mriqc,0.0103075182481751,mriqc,aor
1,mriqc,0.0047554744525547,mriqc,aor
2,mriqc,0.0004565675675675,mriqc,aor
3,mriqc,0.0002896486486486,mriqc,aor
4,mriqc,0.0005526333333333,mriqc,aor
5,mriqc,0.0015520333333333,mriqc,aor
6,mriqc,0.0004006,mriqc,aor
7,mriqc,0.0134839666666666,mriqc,aor
8,mriqc,0.0086747,mriqc,aor
9,mriqc,0.0114101,mriqc,aor
10,mriqc,0.0004078333333333,mriqc,aor
11,mriqc,0.0004472333333333,mriqc,aor
12,mriqc,0.0005655333333333,mriqc,aor
13,mriqc,0.0006051,mriqc,aor
14,mriqc,0.0006797666666666,mriqc,aor
15,mriqc,0.0007129666666666,mriqc,aor
16,mriqc,0.0023164666666666,mriqc,aor
17,mriqc,0.0005252333333333,mriqc,aor
18,mriqc,0.0003535333333333,mriqc,aor
19,mriqc,0.0003722,mriqc,aor
20,mriqc,0.0004504666666666,mriqc,aor
21,mriqc,0.0010850666666666,mriqc,aor
22,mriqc,0.0005184666666666,mriqc,aor
23,mriqc,0.0006218333333333,mriqc,aor
24,mriqc,0.0006724,mriqc,aor
25,mriqc,0.0009316333333333,mriqc,aor
26,mriqc,0.0005327666666666,mriqc,aor
27,mriqc,0.0006469,mriqc,aor
28,mriqc,0.0005461,mriqc,aor
29,mriqc,0.0004241,mriqc,aor
30,mriqc,0.0011266,mriqc,aor
31,mriqc,0.0006322,mriqc,aor
32,mriqc,0.0005406,mriqc,aor
33,mriqc,0.0007377,mriqc,aor
34,mriqc,0.0047515,mriqc,aor
35,mriqc,0.0025010666666666,mriqc,aor
36,mriqc,0.0074774333333333,mriqc,aor
37,mriqc,0.0004831333333333,mriqc,aor
38,mriqc,0.0007926666666666,mriqc,aor
39,mriqc,0.0013555333333333,mriqc,aor
40,mriqc,0.0016822999999999,mriqc,aor
41,mriqc,0.0026659333333333,mriqc,aor
42,mriqc,0.0005093666666666,mriqc,aor
43,mriqc,0.0004857999999999,mriqc,aor
44,mriqc,0.0009706,mriqc,aor
45,mriqc,0.0004582666666666,mriqc,aor
46,mriqc,0.0003633333333333,mriqc,aor
47,mriqc,0.0004582666666666,mriqc,aor
48,mriqc,0.0003633333333333,mriqc,aor
49,mriqc,0.0005373999999999,mriqc,aor
50,mriqc,0.0004582666666666,mriqc,aor
51,mriqc,0.0003633333333333,mriqc,aor
52,mriqc,0.0005373999999999,mriqc,aor
53,mriqc,0.0043752702702702,mriqc,aor
54,mriqc,0.0017016216216216,mriqc,aor
55,mriqc,0.0002896486486486,mriqc,aor
56,mriqc,0.0004582432432432,mriqc,aor
57,mriqc,0.0004565675675675,mriqc,aor
58,mriqc,0.001010054054054,mriqc,aor
59,mriqc,0.0027554945054945,mriqc,aor
60,mriqc,0.0018220329670329,mriqc,aor
61,mriqc,0.0012987362637362,mriqc,aor
62,mriqc,0.0011397159090909,mriqc,aor
63,mriqc,0.0025628409090909,mriqc,aor
64,mriqc,0.0063688636363636,mriqc,aor
65,mriqc,0.0007576373626373,mriqc,aor
66,mriqc,0.0013967582417582,mriqc,aor
67,mriqc,0.0007322527472527,mriqc,aor
68,mriqc,0.0024475568181818,mriqc,aor
69,mriqc,0.001121875,mriqc,aor
70,mriqc,0.002347784090909,mriqc,aor
71,mriqc,0.0023897802197802,mriqc,aor
72,mriqc,0.0016914835164835,mriqc,aor
73,mriqc,0.0029490109890109,mriqc,aor
74,mriqc,0.0082247159090909,mriqc,aor
75,mriqc,0.0017785795454545,mriqc,aor
76,mriqc,0.0016604395604395,mriqc,aor
77,mriqc,0.0007015384615384,mriqc,aor
78,mriqc,0.0027854545454545,mriqc,aor
79,mriqc,0.0036222159090909,mriqc,aor
80,mriqc,0.0010698863636363,mriqc,aor
81,mriqc,0.0009298351648351,mriqc,aor
82,mriqc,0.0008314835164835,mriqc,aor
83,mriqc,0.0005653409090909,mriqc,aor
84,mriqc,0.0015169886363636,mriqc,aor
85,mriqc,0.000888125,mriqc,aor
86,mriqc,0.0010622527472527,mriqc,aor
87,mriqc,0.000807912087912,mriqc,aor
88,mriqc,0.0009462087912087,mriqc,aor
89,mriqc,0.000665625,mriqc,aor
90,mriqc,0.0007834659090909,mriqc,aor
91,mriqc,0.0006039772727272,mriqc,aor
92,mriqc,0.0017192857142857,mriqc,aor
93,mriqc,0.0008384615384615,mriqc,aor
94,mriqc,0.0013555333333333,mriqc,aor
95,mriqc,0.0016822999999999,mriqc,aor
96,mriqc,0.0026659333333333,mriqc,aor
97,mriqc,0.000798956043956,mriqc,aor
98,mriqc,0.000848901098901,mriqc,aor
99,mriqc,0.0005493956043956,mriqc,aor
100,mriqc,0.0006222159090909,mriqc,aor
101,mriqc,0.0005021022727272,mriqc,aor
102,mriqc,0.0005311363636363,mriqc,aor
103,mriqc,0.0134839666666666,mriqc,aor
104,mriqc,0.0086747,mriqc,aor
105,mriqc,0.0114101,mriqc,aor
106,mriqc,0.0005252333333333,mriqc,aor
107,mriqc,0.0023164666666666,mriqc,aor
108,mriqc,0.0006051,mriqc,aor
109,mriqc,0.0005655333333333,mriqc,aor
110,mriqc,0.0004078333333333,mriqc,aor
111,mriqc,0.0007129666666666,mriqc,aor
112,mriqc,0.0006797666666666,mriqc,aor
113,mriqc,0.0004472333333333,mriqc,aor
114,mriqc,0.0005093666666666,mriqc,aor
115,mriqc,0.0003722,mriqc,aor
116,mriqc,0.0004857999999999,mriqc,aor
117,mriqc,0.0009706,mriqc,aor
118,mriqc,0.0004241,mriqc,aor
119,mriqc,0.0005461,mriqc,aor
120,mriqc,0.0004504666666666,mriqc,aor
121,mriqc,0.0003535333333333,mriqc,aor
122,mriqc,0.0003633333333333,mriqc,aor
123,mriqc,0.0007377,mriqc,aor
124,mriqc,0.0005373999999999,mriqc,aor
125,mriqc,0.0074774333333333,mriqc,aor
126,mriqc,0.0047515,mriqc,aor
127,mriqc,0.0004831333333333,mriqc,aor
128,mriqc,0.0006322,mriqc,aor
129,mriqc,0.0007926666666666,mriqc,aor
130,mriqc,0.0011266,mriqc,aor
131,mriqc,0.0004582666666666,mriqc,aor
132,mriqc,0.0005406,mriqc,aor
133,mriqc,0.0025010666666666,mriqc,aor
134,mriqc,0.0006218333333333,mriqc,aor
135,mriqc,0.0006724,mriqc,aor
136,mriqc,0.0009316333333333,mriqc,aor
137,mriqc,0.0013555333333333,mriqc,aor
138,mriqc,0.0005184666666666,mriqc,aor
139,mriqc,0.0006469,mriqc,aor
140,mriqc,0.0005327666666666,mriqc,aor
141,mriqc,0.0026659333333333,mriqc,aor
142,mriqc,0.0010850666666666,mriqc,aor
143,mriqc,0.0016822999999999,mriqc,aor
144,mriqc,0.0015520333333333,mriqc,aor
145,mriqc,0.0005526333333333,mriqc,aor
146,mriqc,0.0004006,mriqc,aor
147,mriqc,0.0026926168224299,mriqc,aor
148,mriqc,0.0008905140186915,mriqc,aor
149,mriqc,0.0027313084112149,mriqc,aor
150,mriqc,0.0010958878504672,mriqc,aor
151,mriqc,0.0026109813084112,mriqc,aor
152,mriqc,0.0019744392523364,mriqc,aor
153,mriqc,0.0042863524590163,mriqc,aor
154,mriqc,0.0030292213114754,mriqc,aor
155,mriqc,0.0025890983606557,mriqc,aor
156,mriqc,0.0019822540983606,mriqc,aor
157,mriqc,0.0006079439252336,mriqc,aor
