,variable,value
0,L-aMFG,1.0
1,L-aMFG,85.0
2,L-aMFG,70.0
3,L-aMFG,45.0
4,L-aMFG,20.0
5,L-aMFG,30.0
6,L-aMFG,50.0
7,L-aMFG,15.0
8,L-aMFG,
9,L-aMFG,15.0
10,L-aMFG,23.0
11,L-aMFG,20.0
12,L-aMFG,30.0
13,L-aMFG,55.0
14,L-aMFG,60.0
15,L-aMFG,13.0
16,L-aMFG,25.0
17,L-aMFG,15.0
18,L-aMFG,2.0
19,L-aMFG,60.0
20,L-aMFG,15.0
21,L-aMFG,10.0
22,L-aMFG,10.0
23,L-aMFG,25.0
24,L-aMFG,10.0
25,L-aMFG,2.0
26,L-aMFG,4.0
27,L-aMFG,3.0
28,L-aMFG,10.0
29,L-aMFG,30.0
30,L-aMFG,10.0
31,L-aMFG,25.0
32,L-aMFG,1.0
33,L-aMFG,
34,L-aMFG,7.0
35,L-aMFG,40.0
36,L-aMFG,25.0
37,L-aMFG,24.0
38,L-aMFG,25.0
39,L-aMFG,20.0
40,L-aMFG,60.0
41,L-aMFG,20.0
42,L-aMFG,5.0
43,L-aMFG,6.0
44,L-aMFG,5.0
45,L-aMFG,10.0
46,L-aMFG,50.0
47,L-aMFG,0.0
48,L-aMFG,15.0
49,L-aMFG,50.0
50,L-aMFG,15.0
51,L-aMFG,2.0
52,L-aMFG,70.0
53,L-aMFG,3.5
54,L-aMFG,5.0
55,L-aMFG,6.0
56,L-aMFG,10.0
57,L-aMFG,20.0
58,L-aMFG,35.0
59,L-aMFG,10.0
60,L-aMFG,10.0
61,L-aMFG,10.0
62,L-aMFG,70.0
63,L-aMFG,5.0
64,L-aMFG,20.0
65,L-aMFG,60.0
66,L-aMFG,40.0
67,L-aMFG,9.0
68,L-aMFG,10.0
69,L-aMFG,40.0
70,L-aMFG,50.0
71,L-aMFG,10.0
72,L-aMFG,20.0
73,L-aMFG,5.0
74,L-aMFG,15.0
75,L-aMFG,60.0
76,L-aMFG,50.0
77,L-aMFG,
78,L-aMFG,
79,L-aMFG,40.0
80,L-aMFG,35.0
81,L-aMFG,15.0
82,L-aMFG,2.0
83,L-aMFG,25.0
84,L-aMFG,22.0
85,L-aMFG,25.0
86,L-aMFG,30.0
87,L-aMFG,12.0
88,L-aMFG,68.0
89,L-aMFG,20.0
90,L-aMFG,10.0
91,L-aMFG,30.0
92,L-aMFG,1.0
93,L-aMFG,3.0
94,L-aMFG,45.0
95,L-aMFG,0.0
96,L-aMFG,5.0
97,L-aMFG,40.0
98,L-aMFG,2.0
99,L-aMFG,7.0
100,L-aMFG,90.0
101,L-aMFG,10.0
102,L-aMFG,30.0
103,L-aMFG,37.0
104,L-aMFG,8.0
105,L-aMFG,20.0
106,L-aMFG,65.0
107,L-aMFG,35.0
108,L-aMFG,8.0
109,L-aMFG,15.0
110,L-aMFG,11.0
111,L-aMFG,10.0
112,L-aMFG,10.0
113,L-aMFG,10.0
114,L-aMFG,20.0
115,L-aMFG,5.0
116,L-aMFG,10.0
117,L-aMFG,30.0
118,L-aMFG,40.0
119,L-aMFG,60.0
120,L-aMFG,15.0
121,L-aMFG,20.0
122,L-aMFG,7.0
123,L-aMFG,25.0
124,L-aMFG,10.0
125,L-aMFG,10.0
126,L-aMFG,45.0
127,L-aMFG,7.0
128,L-aMFG,20.0
129,L-aMFG,7.0
130,L-aMFG,2.0
131,L-aMFG,30.0
132,L-aMFG,15.0
133,L-aMFG,35.0
134,L-aMFG,3.0
135,L-aMFG,5.0
136,L-aMFG,13.0
137,L-aMFG,
138,L-aMFG,10.0
139,L-aMFG,
140,L-aMFG,2.0
141,L-aMFG,30.0
142,L-aMFG,75.0
143,L-aMFG,5.0
144,L-aMFG,4.0
145,L-aMFG,30.0
146,L-aMFG,5.0
147,L-aMFG,17.0
148,L-aMFG,7.0
149,L-aMFG,20.0
150,L-aMFG,30.0
151,L-aMFG,4.0
152,R-aMFG,10.0
153,R-aMFG,25.0
154,R-aMFG,80.0
155,R-aMFG,35.0
156,R-aMFG,15.0
157,R-aMFG,30.0
158,R-aMFG,50.0
159,R-aMFG,10.0
160,R-aMFG,
161,R-aMFG,40.0
162,R-aMFG,30.0
163,R-aMFG,20.0
164,R-aMFG,30.0
165,R-aMFG,50.0
166,R-aMFG,70.0
167,R-aMFG,15.0
168,R-aMFG,
169,R-aMFG,15.0
170,R-aMFG,2.0
171,R-aMFG,75.0
172,R-aMFG,25.0
173,R-aMFG,10.0
174,R-aMFG,30.0
175,R-aMFG,15.0
176,R-aMFG,30.0
177,R-aMFG,2.0
178,R-aMFG,4.0
179,R-aMFG,1.0
180,R-aMFG,0.0
181,R-aMFG,65.0
182,R-aMFG,40.0
183,R-aMFG,5.0
184,R-aMFG,1.0
185,R-aMFG,
186,R-aMFG,45.0
187,R-aMFG,70.0
188,R-aMFG,5.0
189,R-aMFG,25.0
190,R-aMFG,58.0
191,R-aMFG,15.0
192,R-aMFG,60.0
193,R-aMFG,25.0
194,R-aMFG,12.0
195,R-aMFG,
196,R-aMFG,5.0
197,R-aMFG,40.0
198,R-aMFG,40.0
199,R-aMFG,0.0
200,R-aMFG,
201,R-aMFG,10.0
202,R-aMFG,5.0
203,R-aMFG,5.0
204,R-aMFG,32.0
205,R-aMFG,30.0
206,R-aMFG,4.0
207,R-aMFG,16.0
208,R-aMFG,40.0
209,R-aMFG,15.0
210,R-aMFG,20.0
211,R-aMFG,20.0
212,R-aMFG,10.0
213,R-aMFG,15.0
214,R-aMFG,60.0
215,R-aMFG,10.0
216,R-aMFG,15.0
217,R-aMFG,60.0
218,R-aMFG,5.0
219,R-aMFG,4.0
220,R-aMFG,10.0
221,R-aMFG,60.0
222,R-aMFG,80.0
223,R-aMFG,0.0
224,R-aMFG,30.0
225,R-aMFG,15.0
226,R-aMFG,20.0
227,R-aMFG,60.0
228,R-aMFG,45.0
229,R-aMFG,
230,R-aMFG,
231,R-aMFG,40.0
232,R-aMFG,40.0
233,R-aMFG,10.0
234,R-aMFG,
235,R-aMFG,30.0
236,R-aMFG,20.0
237,R-aMFG,35.0
238,R-aMFG,10.0
239,R-aMFG,11.0
240,R-aMFG,88.0
241,R-aMFG,10.0
242,R-aMFG,20.0
243,R-aMFG,20.0
244,R-aMFG,
245,R-aMFG,8.0
246,R-aMFG,75.0
247,R-aMFG,0.0
248,R-aMFG,25.0
249,R-aMFG,30.0
250,R-aMFG,3.0
251,R-aMFG,8.0
252,R-aMFG,30.0
253,R-aMFG,60.0
254,R-aMFG,
255,R-aMFG,7.0
256,R-aMFG,15.0
257,R-aMFG,10.0
258,R-aMFG,55.0
259,R-aMFG,30.0
260,R-aMFG,10.0
261,R-aMFG,35.0
262,R-aMFG,16.0
263,R-aMFG,57.0
264,R-aMFG,15.0
265,R-aMFG,10.0
266,R-aMFG,40.0
267,R-aMFG,5.0
268,R-aMFG,60.0
269,R-aMFG,30.0
270,R-aMFG,85.0
271,R-aMFG,40.0
272,R-aMFG,90.0
273,R-aMFG,10.0
274,R-aMFG,12.0
275,R-aMFG,50.0
276,R-aMFG,20.0
277,R-aMFG,30.0
278,R-aMFG,50.0
279,R-aMFG,10.0
280,R-aMFG,35.0
281,R-aMFG,5.0
282,R-aMFG,4.0
283,R-aMFG,60.0
284,R-aMFG,10.0
285,R-aMFG,60.0
286,R-aMFG,3.0
287,R-aMFG,0.0
288,R-aMFG,2.0
289,R-aMFG,10.0
290,R-aMFG,20.0
291,R-aMFG,
292,R-aMFG,1.0
293,R-aMFG,50.0
294,R-aMFG,60.0
295,R-aMFG,20.0
296,R-aMFG,60.0
297,R-aMFG,25.0
298,R-aMFG,10.0
299,R-aMFG,25.0
300,R-aMFG,10.0
301,R-aMFG,20.0
302,R-aMFG,30.0
303,R-aMFG,2.0
304,L-pMFG,5.0
305,L-pMFG,65.0
306,L-pMFG,70.0
307,L-pMFG,65.0
308,L-pMFG,10.0
309,L-pMFG,25.0
310,L-pMFG,30.0
311,L-pMFG,6.0
312,L-pMFG,60.0
313,L-pMFG,2.0
314,L-pMFG,25.0
315,L-pMFG,
316,L-pMFG,15.0
317,L-pMFG,60.0
318,L-pMFG,50.0
319,L-pMFG,9.0
320,L-pMFG,15.0
321,L-pMFG,15.0
322,L-pMFG,5.0
323,L-pMFG,65.0
324,L-pMFG,10.0
325,L-pMFG,10.0
326,L-pMFG,10.0
327,L-pMFG,10.0
328,L-pMFG,25.0
329,L-pMFG,3.0
330,L-pMFG,3.0
331,L-pMFG,3.0
332,L-pMFG,20.0
333,L-pMFG,60.0
334,L-pMFG,10.0
335,L-pMFG,10.0
336,L-pMFG,1.0
337,L-pMFG,
338,L-pMFG,17.0
339,L-pMFG,40.0
340,L-pMFG,5.0
341,L-pMFG,30.0
342,L-pMFG,37.0
343,L-pMFG,10.0
344,L-pMFG,65.0
345,L-pMFG,20.0
346,L-pMFG,5.0
347,L-pMFG,5.0
348,L-pMFG,3.0
349,L-pMFG,50.0
350,L-pMFG,50.0
351,L-pMFG,0.0
352,L-pMFG,20.0
353,L-pMFG,40.0
354,L-pMFG,5.0
355,L-pMFG,2.0
356,L-pMFG,40.0
