,group,variable,value
0,NTHC,snr,4.69654069534042
1,NTHC,snr,4.978497902570635
2,NTHC,snr,4.209051204979679
3,NTHC,snr,4.178836390965451
4,NTHC,snr,4.178836390965451
5,NTHC,snr,4.2588571683132
6,NTHC,snr,4.526521677783841
7,NTHC,snr,4.526521677783841
8,NTHC,snr,4.478434431064444
9,NTHC,snr,4.188943136486917
10,NTHC,snr,4.082030696989531
11,NTHC,snr,4.068419725696955
12,NTHC,snr,3.9729599145509935
13,NTHC,snr,4.1063196804422715
14,NTHC,snr,3.9516254073797215
15,NTHC,snr,4.634170005108489
16,NTHC,snr,4.0329653639496295
17,NTHC,snr,3.307782576425154
18,NTHC,snr,4.319827847221235
19,NTHC,snr,3.693586730460765
20,NTHC,snr,4.227382388568972
21,NTHC,snr,4.811590209262254
22,NTHC,snr,4.296947012300573
23,NTHC,snr,4.103910418192539
24,NTHC,snr,3.9823110562264294
25,NTHC,snr,3.6642470403398617
26,NTHC,snr,4.096909016724996
27,NTHC,snr,3.810897918780484
28,NTHC,snr,3.7153490155797257
29,NTHC,snr,4.0682496955105965
30,NTHC,snr,4.087345438256212
31,NTHC,snr,4.2055312894292145
32,NTHC,snr,4.137756456905034
33,NTHC,snr,3.879332559355164
34,NTHC,snr,4.420749080006291
35,NTHC,snr,3.988645028596542
36,NTHC,snr,4.176322455600951
37,NTHC,snr,3.730177706487967
38,NTHC,snr,3.617115705429459
39,NTHC,snr,3.748692988939702
40,NTHC,snr,3.838130062816544
41,NTHC,snr,4.3475527968774585
42,NTHC,snr,4.013736165917904
43,NTHC,snr,4.1724497963405875
44,NTHC,snr,4.3312927420379275
45,NTHC,snr,3.9941330240338657
46,NTHC,snr,4.065055540644639
47,NTHC,snr,3.5581095332025408
48,NTHC,snr,4.219796039968391
49,NTS,snr,4.2555698337987575
50,NTS,snr,4.117281042276824
51,NTS,snr,4.172570146574667
52,NTS,snr,4.404841327045477
53,NTS,snr,4.199563557466511
54,NTS,snr,4.04862217217265
55,NTS,snr,4.5691318634501235
56,NTS,snr,4.072675981871938
57,NTS,snr,4.126199557330591
58,NTS,snr,4.114463405783307
59,NTS,snr,4.179804412599097
60,NTS,snr,3.848878623928848
61,NTS,snr,3.892725303019944
62,NTS,snr,3.7834412679259217
63,NTS,snr,3.968180005408152
64,NTS,snr,4.70750254295718
65,NTS,snr,4.240099045556089
66,NTS,snr,3.897331949371152
67,NTS,snr,4.502913505472896
68,NTS,snr,4.442457618216226
69,NTS,snr,4.187546998242069
70,NTS,snr,3.5948414173905756
71,NTS,snr,4.295746781233669
72,NTS,snr,3.960344881745608
73,NTS,snr,3.5467060595474265
74,NTS,snr,3.65224246368716
75,NTS,snr,4.253847459678059
76,NTS,snr,4.652631382947917
77,NTS,snr,3.563902655183286
78,NTS,snr,3.9547255867476143
79,NTS,snr,4.1403083782435814
80,NTS,snr,3.9130301008977777
81,NTS,snr,4.036451974192019
82,NTS,snr,4.038579287647406
83,NTS,snr,3.9889800564404223
84,NTS,snr,3.864411816810012
85,NTS,snr,4.457828064129357
86,NTS,snr,3.7229558079957825
87,NTS,snr,4.0076884935233625
88,NTS,snr,4.275080880368342
89,NTS,snr,3.741942610069768
90,NTS,snr,3.962695353430379
91,NTS,snr,3.71463993468361
92,TEHC,snr,4.357449883172282
93,TEHC,snr,4.169434359010557
94,TEHC,snr,4.073933701549133
95,TEHC,snr,5.082335802465656
96,TEHC,snr,3.7842577970480575
97,TEHC,snr,3.85287427007848
98,TEHC,snr,3.824451288385179
99,TEHC,snr,4.057734128241688
100,TEHC,snr,3.982345789447023
101,TEHC,snr,4.29476273441943
102,TEHC,snr,4.059093912351821
103,TEHC,snr,4.0940969248991275
104,TEHC,snr,4.453192859274534
105,TEHC,snr,3.6029200337740654
106,TEHC,snr,3.8235081562546864
107,TEHC,snr,4.1378611447973075
108,TEHC,snr,4.147946120646313
109,TEHC,snr,4.146522939555502
110,TEHC,snr,4.120532988982886
111,TEHC,snr,4.500958182313837
112,TEHC,snr,4.073247462128711
113,TEHC,snr,4.7653288981750865
114,TEHC,snr,3.8214524103857617
115,TEHC,snr,3.8266903653828086
116,TEHC,snr,3.778325249522316
117,TEHC,snr,3.9363875056791016
118,TEHC,snr,4.019490011474708
119,TEHC,snr,4.420074405550173
120,TEHC,snr,3.922258282262728
121,TIS,snr,3.828192881449709
122,TIS,snr,3.7529530760127754
123,TIS,snr,4.294755965816249
124,TIS,snr,4.537280151061454
125,TIS,snr,4.058735364505353
126,TIS,snr,3.828581125544198
127,TIS,snr,4.47481728707714
128,TIS,snr,3.882144871175561
129,TIS,snr,4.1633213750778735
130,TIS,snr,4.275221614243451
131,TIS,snr,3.996272543285355
132,TIS,snr,3.948047496666683
133,TIS,snr,4.520049788330642
134,TIS,snr,3.998655178483659
135,TIS,snr,4.119272316170748
136,TIS,snr,3.9139628752666145
137,TIS,snr,4.277295251210219
138,TIS,snr,4.379538279538945
139,TIS,snr,4.079034231062424
140,TIS,snr,4.088547080433937
141,TIS,snr,4.294801475065396
142,TIS,snr,4.199090662895724
143,TIS,snr,4.063983575219141
144,TIS,snr,4.468717735329557
145,TIS,snr,4.29670670030414
146,TIS,snr,4.340477826613046
147,TIS,snr,4.08005439389467
148,TIS,snr,3.747630910492521
149,TIS,snr,3.878105219237728
150,TIS,snr,4.001203375822969
