,group,variable,value
0,NTHC,tsnr,30.18751851376146
1,NTHC,tsnr,41.04702445724979
2,NTHC,tsnr,59.342061136849225
3,NTHC,tsnr,48.211764706880786
4,NTHC,tsnr,54.21154016954824
5,NTHC,tsnr,55.76537208724767
6,NTHC,tsnr,47.72180551942438
7,NTHC,tsnr,58.60818321770057
8,NTHC,tsnr,63.44441584846936
9,NTHC,tsnr,57.42378787219059
10,NTHC,tsnr,72.01123527484015
11,NTHC,tsnr,71.67191484943032
12,NTHC,tsnr,70.6255304205697
13,NTHC,tsnr,62.272280499804765
14,NTHC,tsnr,59.00715439207852
15,NTHC,tsnr,68.5814514933154
16,NTHC,tsnr,68.3210520981811
17,NTHC,tsnr,63.44441584846936
18,NTHC,tsnr,57.42378787219059
19,NTHC,tsnr,72.01123527484015
20,NTHC,tsnr,71.67191484943032
21,NTHC,tsnr,70.6255304205697
22,NTHC,tsnr,62.272280499804765
23,NTHC,tsnr,59.00715439207852
24,NTHC,tsnr,68.5814514933154
25,NTHC,tsnr,68.3210520981811
26,NTHC,tsnr,52.642111220397055
27,NTHC,tsnr,31.644680208992213
28,NTHC,tsnr,35.918186167255044
29,NTHC,tsnr,64.49640952935442
30,NTHC,tsnr,42.4985189512372
31,NTHC,tsnr,62.18431882979348
32,NTHC,tsnr,42.52148826804478
33,NTHC,tsnr,51.520931083709
34,NTHC,tsnr,50.512558388058096
35,NTHC,tsnr,54.875968425534666
36,NTHC,tsnr,53.61309500038624
37,NTHC,tsnr,50.0519449012354
38,NTHC,tsnr,53.516829048865475
39,NTHC,tsnr,50.153572221519426
40,NTHC,tsnr,48.50341152516194
41,NTHC,tsnr,55.27895964612253
42,NTHC,tsnr,36.43984289071523
43,NTHC,tsnr,62.55191393219866
44,NTHC,tsnr,67.18282701540738
45,NTHC,tsnr,60.89532955549657
46,NTHC,tsnr,47.799163433141075
47,NTHC,tsnr,61.57225864124485
48,NTHC,tsnr,50.33462358498946
49,NTHC,tsnr,56.73612312902696
50,NTHC,tsnr,48.414201786741614
51,NTHC,tsnr,64.9244656919036
52,NTHC,tsnr,55.01455758733209
53,NTHC,tsnr,50.264024974778295
54,NTHC,tsnr,48.0660958684748
55,NTHC,tsnr,52.62979328795336
56,NTHC,tsnr,59.80262499907985
57,NTHC,tsnr,55.33872990868986
58,NTHC,tsnr,53.67912496521603
59,NTHC,tsnr,53.95284226629883
60,NTHC,tsnr,57.25350986700505
61,NTHC,tsnr,49.77699607075192
62,NTHC,tsnr,52.00804951891769
