cc_post_intake_id,cc_post_intake_id,gender,age,yrs of edu
1001,1001,2,45,18
1003,1003,2,24,16
1009,1009,2,42,14
1015,1015,1,19,14
1016,1016,2,22,16
1019,1019,1,43,18
1021,1021,2,31,16
1022,1022,1,25,16
1023,1023,1,29,18
1024,1024,2,26,14
1026,1026,1,27,18
1027,1027,1,24,14
1028,1028,2,27,18
1029,1029,1,20,14
1032,1032,1,32,16
1035,1035,2,29,16
1036,1036,2,24,17
1037,1037,1,21,15
1038,1038,1,59,16
1039,1039,1,49,16
1040,1040,2,27,16
1043,1043,1,20,13
1047,1047,1,23,17
1049,1049,1,25,20
1050,1050,2,51,14
1052,1052,2,37,14
1053,1053,1,21,14
1055,1055,1,23,16
1056,1056,2,31,21
1057,1057,1,30,16
1061,1061,2,36,18
1062,1062,1,27,16
1064,1064,2,24,16
1066,1066,1,29,16
1068,1068,1,25,14
1070,1070,2,33,16
1073,1073,1,21,15
1075,1075,1,51,18
1097,1097,1,33,16
1098,1098,1,32,18
1099,1099,2,25,16
1101,1101,1,22,15
1102,1102,1,21,14
1105,1105,2,18,12
1107,1107,1,43,18
1108,1108,1,22,15
2001,2001,2,32,21
2002,2002,1,44,18
2003,2003,2,32,16
2005,2005,2,43,17
2008,2008,2,27,14
2010,2010,1,36,14
2011,2011,1,19,13
2012,2012,1,35,16
2016,2016,1,46,18
2017,2017,1,26,15
2022,2022,1,38,18
2026,2026,1,22,16
2040,2040,2,27,18
2043,2043,2,49,18
2044,2044,2,46,16
2047,2047,2,28,16
2048,2048,2,28,12
2053,2053,2,38,20
2062,2062,2,19,12
2064,2064,2,36,17
2066,2066,2,55,18
2069,2069,2,25,16
2070,2070,1,26,14
2074,2074,1,18,12
2075,2075,2,33,16
2076,2076,2,25,16
2079,2079,2,33,16
2083,2083,1,24,16
2088,2088,1,54,21
2090,2090,1,31,21
2093,2093,1,42,16
2096,2096,2,61,17
2098,2098,1,43,16
2102,2102,1,30,17
2103,2103,1,42,14
2104,2104,1,44,20
2105,2105,1,24,17
2108,2108,1,22,14
3004,3004,2,25,16
3006,3006,1,30,16
3007,3007,1,54,14
3010,3010,1,28,18
3011,3011,2,51,16
3013,3013,1,50,20
3014,3014,1,23,16
3015,3015,1,29,16
3016,3016,1,21,15
3017,3017,2,28,16
3019,3019,1,26,16
3020,3020,1,28,18
3022,3022,1,20,13
3023,3023,1,24,16
3026,3026,1,29,18
3029,3029,1,36,13
3031,3031,2,43,16
3037,3037,1,21,15
3045,3045,2,50,21
3046,3046,1,21,15
3051,3051,2,31,13
3053,3053,1,22,15
3055,3055,1,22,15
3056,3056,1,28,16
3058,3058,2,25,19
3065,3065,2,33,16
3072,3072,2,25,12
3074,3074,1,26,16
3077,3077,1,20,14
3079,3079,2,31,16
3083,3083,1,23,16
3084,3084,2,29,18
3086,3086,2,23,16
3088,3088,1,25,18
3089,3089,1,25,14
3090,3090,1,25,16
3091,3091,2,24,12
3093,3093,1,38,16
3094,3094,2,19,15
3095,3095,1,28,19
3096,3096,2,22,17
3097,3097,2,18,13
3098,3098,1,22,17
3099,3099,2,33,12
3101,3101,2,53,12
3102,3102,1,47,13
3103,3103,1,24,15
3107,3107,2,57,19
3108,3108,1,34,16
3109,3109,1,55,17
3114,3114,1,23,16
3115,3115,2,32,16
3116,3116,1,25,17
3118,3118,2,47,20
4006,4006,1,36,15
4008,4008,1,23,16
4010,4010,2,19,13
4025,4025,1,28,16
4039,4039,1,33,13
4040,4040,1,26,16
4042,4042,1,24,16
4044,4044,1,28,16
4048,4048,1,27,14
4049,4049,1,44,14
4050,4050,1,24,16
4052,4052,1,20,14
4056,4056,1,51,13
4068,4068,1,28,14
4072,4072,2,46,16
4077,4077,1,22,12
4088,4088,1,41,16
4089,4089,1,45,16
4096,4096,3,48,21
4105,4105,2,22,15
4113,4113,1,47,14
4117,4117,1,21,14
4120,4120,1,20,15
4121,4121,1,22,17
4127,4127,1,24,16
4135,4135,2,25,14
4136,4136,1,48,14
4147,4147,1,26,18
4161,4161,2,30,18
4166,4166,1,23,15
4167,4167,1,25,16
4169,4169,1,24,14
4175,4175,1,20,14
4177,4177,2,47,16
4178,4178,2,36,18
4182,4182,1,57,16
4199,4199,2,29,16
4203,4203,2,34,15
4206,4206,2,57,18
