,group,variable,value
0,NTHC,tsnr,81.35562677215785
1,NTHC,tsnr,72.5461406223476
2,NTHC,tsnr,62.57921684905887
3,NTHC,tsnr,65.99334451789036
4,NTHC,tsnr,65.99334451789036
5,NTHC,tsnr,112.74642789689824
6,NTHC,tsnr,60.33240718091838
7,NTHC,tsnr,60.33240718091838
8,NTHC,tsnr,98.93060818966478
9,NTHC,tsnr,82.27548933587968
10,NTHC,tsnr,64.16066390532069
11,NTHC,tsnr,78.32724801683798
12,NTHC,tsnr,72.94976242689881
13,NTHC,tsnr,76.4037575024413
14,NTHC,tsnr,55.948596047237515
15,NTHC,tsnr,84.21490819193423
16,NTHC,tsnr,68.54531511571258
17,NTHC,tsnr,44.57357458374463
18,NTHC,tsnr,70.37521096272394
19,NTHC,tsnr,80.48576081986539
20,NTHC,tsnr,70.91264256462455
21,NTHC,tsnr,45.25481709977612
22,NTHC,tsnr,74.14241631515324
23,NTHC,tsnr,62.3889123913832
24,NTHC,tsnr,54.89059288799763
25,NTHC,tsnr,65.02951254602522
26,NTHC,tsnr,58.75354805076495
27,NTHC,tsnr,81.63421990978532
28,NTHC,tsnr,62.65744220837951
29,NTHC,tsnr,81.1322356374003
30,NTHC,tsnr,72.98811058048159
31,NTHC,tsnr,92.94134464673698
32,NTHC,tsnr,66.64514950895682
33,NTHC,tsnr,79.60196568910033
34,NTHC,tsnr,64.40667386201676
35,NTHC,tsnr,56.55819152388722
36,NTHC,tsnr,58.00530938059091
37,NTHC,tsnr,62.89895959722344
38,NTHC,tsnr,78.35079757566564
39,NTHC,tsnr,65.2875344203785
40,NTHC,tsnr,80.24130943370983
41,NTHC,tsnr,74.38980177650228
42,NTHC,tsnr,79.53381059318781
43,NTHC,tsnr,73.15015180152841
44,NTHC,tsnr,56.74772925069555
45,NTHC,tsnr,88.48163942433894
46,NTHC,tsnr,52.63050027843565
47,NTHC,tsnr,35.21762008778751
48,NTHC,tsnr,83.88752757292241
49,NTS,tsnr,76.49877675622702
50,NTS,tsnr,70.27703055192251
51,NTS,tsnr,100.72158482298256
52,NTS,tsnr,60.49565587658435
53,NTS,tsnr,71.44429594534449
54,NTS,tsnr,78.4417130977381
55,NTS,tsnr,92.67228056909516
56,NTS,tsnr,65.73100262880325
57,NTS,tsnr,94.95297403633596
58,NTS,tsnr,80.55319740902632
59,NTS,tsnr,64.5960122665856
60,NTS,tsnr,81.00459606060758
61,NTS,tsnr,81.06554682552814
62,NTS,tsnr,46.4716979713412
63,NTS,tsnr,63.76981859840453
64,NTS,tsnr,56.750811969162896
65,NTS,tsnr,54.4126126691699
66,NTS,tsnr,86.3500588121824
67,NTS,tsnr,58.96749416110106
68,NTS,tsnr,90.35891244653612
69,NTS,tsnr,72.53472482599318
70,NTS,tsnr,48.41234381333925
71,NTS,tsnr,66.82538218330592
72,NTS,tsnr,75.51104556163773
73,NTS,tsnr,66.58813969790936
74,NTS,tsnr,72.50469684880227
75,NTS,tsnr,64.22317757317796
76,NTS,tsnr,79.56899692863226
77,NTS,tsnr,46.44256795756519
78,NTS,tsnr,70.01557826250792
79,NTS,tsnr,78.1558788958937
80,NTS,tsnr,83.33373720897362
81,NTS,tsnr,70.3612804710865
82,NTS,tsnr,42.28490545088425
83,NTS,tsnr,109.12078354833648
84,NTS,tsnr,52.43761366163381
85,NTS,tsnr,49.05518215568736
86,NTS,tsnr,107.32407892495394
87,NTS,tsnr,53.07326793856919
88,NTS,tsnr,78.04595953598619
89,NTS,tsnr,53.598878982593305
90,NTS,tsnr,53.64719814178534
91,NTS,tsnr,85.01475354563445
92,TEHC,tsnr,47.437078040326014
93,TEHC,tsnr,49.13313357532024
94,TEHC,tsnr,56.124539313605055
95,TEHC,tsnr,41.06157721579075
96,TEHC,tsnr,63.938301630318165
97,TEHC,tsnr,70.10235389973968
98,TEHC,tsnr,89.14906043070368
99,TEHC,tsnr,61.55227276310325
100,TEHC,tsnr,50.76666080439463
101,TEHC,tsnr,113.33658550167456
102,TEHC,tsnr,67.72241911618039
103,TEHC,tsnr,90.35850559687242
104,TEHC,tsnr,75.42895862879232
105,TEHC,tsnr,31.48534350900445
106,TEHC,tsnr,79.33407709514722
107,TEHC,tsnr,52.209264911711216
108,TEHC,tsnr,70.23143457528204
109,TEHC,tsnr,69.09284359682351
110,TEHC,tsnr,88.49901518085971
111,TEHC,tsnr,74.70735281216912
112,TEHC,tsnr,91.04448374919592
113,TEHC,tsnr,83.73341278266162
114,TEHC,tsnr,77.33188652666286
115,TEHC,tsnr,72.42274140752852
116,TEHC,tsnr,46.41966181108728
117,TEHC,tsnr,54.801429132698104
118,TEHC,tsnr,66.46211766637862
119,TEHC,tsnr,74.57570704817772
120,TEHC,tsnr,59.17136946693063
121,TIS,tsnr,65.21595900901593
122,TIS,tsnr,54.19950922159478
123,TIS,tsnr,80.09943303419277
124,TIS,tsnr,102.23720071744174
125,TIS,tsnr,91.47214048728348
126,TIS,tsnr,60.21593326982111
127,TIS,tsnr,68.84740491001867
128,TIS,tsnr,38.79595082672313
129,TIS,tsnr,38.61040782276541
130,TIS,tsnr,55.37635453429539
131,TIS,tsnr,68.82830744003877
132,TIS,tsnr,50.93952089548111
133,TIS,tsnr,53.21453872974962
134,TIS,tsnr,65.05898803879973
135,TIS,tsnr,74.3988513238728
136,TIS,tsnr,68.28233972052112
137,TIS,tsnr,67.7697923257947
138,TIS,tsnr,78.45163031294942
139,TIS,tsnr,65.4019316881895
140,TIS,tsnr,73.97858080128208
141,TIS,tsnr,68.65691361692734
142,TIS,tsnr,85.58383416733705
143,TIS,tsnr,71.02273577474989
144,TIS,tsnr,60.33619969908614
145,TIS,tsnr,63.38766186358407
146,TIS,tsnr,63.199888890609145
147,TIS,tsnr,67.61430580448359
148,TIS,tsnr,47.97081471187994
149,TIS,tsnr,75.58797918492928
150,TIS,tsnr,61.17728314711712
