,compare,snr,task,data type
0,mriqc,5.380572149339574,mriqc,snr
1,mriqc,5.493007662782576,mriqc,snr
2,mriqc,6.755209818790975,mriqc,snr
3,mriqc,6.494697242603013,mriqc,snr
4,mriqc,5.2586532899783585,mriqc,snr
5,mriqc,5.397978659285174,mriqc,snr
6,mriqc,5.317251656323597,mriqc,snr
7,mriqc,5.510041302137155,mriqc,snr
8,mriqc,5.527132433360119,mriqc,snr
9,mriqc,5.464674019463471,mriqc,snr
10,mriqc,5.373816566231691,mriqc,snr
11,mriqc,5.395885691877433,mriqc,snr
12,mriqc,5.319277174517921,mriqc,snr
13,mriqc,5.52875645004265,mriqc,snr
14,mriqc,5.54669986549042,mriqc,snr
15,mriqc,5.290770035224876,mriqc,snr
16,mriqc,5.161617313622116,mriqc,snr
17,mriqc,5.332213843208672,mriqc,snr
18,mriqc,5.32049401957602,mriqc,snr
19,mriqc,5.311687654927268,mriqc,snr
20,mriqc,5.349079823506616,mriqc,snr
21,mriqc,5.348876752933994,mriqc,snr
22,mriqc,5.355008549030914,mriqc,snr
23,mriqc,4.778329203926036,mriqc,snr
24,mriqc,4.71054148769895,mriqc,snr
25,mriqc,4.574114409825574,mriqc,snr
26,mriqc,5.367476986914568,mriqc,snr
27,mriqc,5.518126267848038,mriqc,snr
28,mriqc,5.552645540861552,mriqc,snr
29,mriqc,5.6539068772650305,mriqc,snr
30,mriqc,5.323628112748903,mriqc,snr
31,mriqc,5.399831363079279,mriqc,snr
32,mriqc,5.3983226089500675,mriqc,snr
33,mriqc,5.321807994969952,mriqc,snr
34,mriqc,5.169070313685067,mriqc,snr
35,mriqc,5.154036722288825,mriqc,snr
36,mriqc,5.598967132564397,mriqc,snr
37,mriqc,5.538304918175006,mriqc,snr
38,mriqc,5.5834181798660545,mriqc,snr
39,mriqc,4.781919774950998,mriqc,snr
40,mriqc,4.731619282128796,mriqc,snr
41,mriqc,4.799623490800397,mriqc,snr
42,mriqc,5.65307042198814,mriqc,snr
43,mriqc,5.604932764722774,mriqc,snr
44,mriqc,5.471910846094245,mriqc,snr
45,mriqc,5.63238712231422,mriqc,snr
46,mriqc,5.673576991519687,mriqc,snr
47,mriqc,5.63238712231422,mriqc,snr
48,mriqc,5.673576991519687,mriqc,snr
49,mriqc,5.445045247966321,mriqc,snr
50,mriqc,5.63238712231422,mriqc,snr
51,mriqc,5.673576991519687,mriqc,snr
52,mriqc,5.445045247966321,mriqc,snr
53,mriqc,6.3427347246502155,mriqc,snr
54,mriqc,6.319539334071716,mriqc,snr
55,mriqc,6.494697242603013,mriqc,snr
56,mriqc,7.032159959418149,mriqc,snr
57,mriqc,6.755209818790975,mriqc,snr
58,mriqc,6.524323459936227,mriqc,snr
59,mriqc,5.442282178879901,mriqc,snr
60,mriqc,5.440817948053328,mriqc,snr
61,mriqc,5.27149948267987,mriqc,snr
62,mriqc,5.453731587797439,mriqc,snr
63,mriqc,5.484423189914081,mriqc,snr
64,mriqc,5.486472510007954,mriqc,snr
65,mriqc,5.0680696899363396,mriqc,snr
66,mriqc,5.047766412730854,mriqc,snr
67,mriqc,5.069288701252896,mriqc,snr
68,mriqc,5.015929781851867,mriqc,snr
69,mriqc,5.006967790264322,mriqc,snr
70,mriqc,5.139444702950634,mriqc,snr
71,mriqc,5.180176092813819,mriqc,snr
72,mriqc,5.253975235107049,mriqc,snr
73,mriqc,5.267759560413198,mriqc,snr
74,mriqc,5.261301165284589,mriqc,snr
75,mriqc,5.344262999643517,mriqc,snr
76,mriqc,5.474107746597398,mriqc,snr
77,mriqc,5.40571567209646,mriqc,snr
78,mriqc,5.294053582415153,mriqc,snr
79,mriqc,5.427098233371622,mriqc,snr
80,mriqc,5.3884557811984095,mriqc,snr
81,mriqc,5.2606724924362105,mriqc,snr
82,mriqc,5.231637015369406,mriqc,snr
83,mriqc,5.419901369730344,mriqc,snr
84,mriqc,5.321770081629115,mriqc,snr
85,mriqc,5.335994342975832,mriqc,snr
86,mriqc,5.323569148590478,mriqc,snr
87,mriqc,5.28425352724948,mriqc,snr
88,mriqc,5.342974747133832,mriqc,snr
89,mriqc,5.42227424980754,mriqc,snr
90,mriqc,5.517027995402684,mriqc,snr
91,mriqc,5.469825353626794,mriqc,snr
92,mriqc,4.226114092975762,mriqc,snr
93,mriqc,4.246488770393254,mriqc,snr
94,mriqc,4.781919774950998,mriqc,snr
95,mriqc,4.731619282128796,mriqc,snr
96,mriqc,4.799623490800397,mriqc,snr
97,mriqc,5.320201008364585,mriqc,snr
98,mriqc,5.230308359012476,mriqc,snr
99,mriqc,5.309304387189833,mriqc,snr
100,mriqc,5.2541351756599735,mriqc,snr
101,mriqc,5.270660337220441,mriqc,snr
102,mriqc,5.28811958497312,mriqc,snr
103,mriqc,5.510041302137155,mriqc,snr
104,mriqc,5.527132433360119,mriqc,snr
105,mriqc,5.464674019463471,mriqc,snr
106,mriqc,5.332213843208672,mriqc,snr
107,mriqc,5.161617313622116,mriqc,snr
108,mriqc,5.52875645004265,mriqc,snr
109,mriqc,5.319277174517921,mriqc,snr
110,mriqc,5.373816566231691,mriqc,snr
111,mriqc,5.290770035224876,mriqc,snr
112,mriqc,5.54669986549042,mriqc,snr
