,group,variable,value
0,NTHC,snr,4.063005193986253
1,NTHC,snr,5.639710725873754
2,NTHC,snr,4.1985241944318386
3,NTHC,snr,4.428152197376887
4,NTHC,snr,5.2107377621059205
5,NTHC,snr,4.733900952539253
6,NTHC,snr,4.716642676906128
7,NTHC,snr,4.7044744768742675
8,NTHC,snr,4.6107259178335935
9,NTHC,snr,4.28975080259105
10,NTHC,snr,4.60351339279172
11,NTHC,snr,4.443762179000665
12,NTHC,snr,4.159540402421443
13,NTHC,snr,4.377054284697382
14,NTHC,snr,4.4618216216134385
15,NTHC,snr,4.478281282725672
16,NTHC,snr,4.277662295650098
17,NTHC,snr,4.6107259178335935
18,NTHC,snr,4.28975080259105
19,NTHC,snr,4.60351339279172
20,NTHC,snr,4.443762179000665
21,NTHC,snr,4.159540402421443
22,NTHC,snr,4.377054284697382
23,NTHC,snr,4.4618216216134385
24,NTHC,snr,4.478281282725672
25,NTHC,snr,4.277662295650098
26,NTHC,snr,4.2725458453147835
27,NTHC,snr,4.15596406665268
28,NTHC,snr,3.7945787147831016
29,NTHC,snr,4.2458965498687515
30,NTHC,snr,4.126104019931162
31,NTHC,snr,4.420997678953179
32,NTHC,snr,3.4417764831127897
33,NTHC,snr,4.164509909833047
34,NTHC,snr,3.9960245974142192
35,NTHC,snr,3.779312377399859
36,NTHC,snr,3.8808949028939046
37,NTHC,snr,3.89824840258487
38,NTHC,snr,3.9408152339768874
39,NTHC,snr,4.052013547443096
40,NTHC,snr,4.020523646028741
41,NTHC,snr,3.8993092498795554
42,NTHC,snr,4.039866521075785
43,NTHC,snr,4.276451627467195
44,NTHC,snr,4.2544819064694135
45,NTHC,snr,4.400766767964654
46,NTHC,snr,4.507558615763132
47,NTHC,snr,4.375076523759677
48,NTHC,snr,4.538913453294022
49,NTHC,snr,4.573510357545802
50,NTHC,snr,4.663007479147254
51,NTHC,snr,4.257961358416466
52,NTHC,snr,4.451133500069443
53,NTHC,snr,4.481156904690025
54,NTHC,snr,4.524137231135371
55,NTHC,snr,4.258853811596382
56,NTHC,snr,4.33107387315115
57,NTHC,snr,4.222737474546623
58,NTHC,snr,4.186039421439021
59,NTHC,snr,4.136744555497172
60,NTHC,snr,3.809542750705647
61,NTHC,snr,4.067497689921405
62,NTHC,snr,3.813686556988329
63,NTHC,snr,4.311040516619496
64,NTHC,snr,4.516182415568039
65,NTHC,snr,4.1580394558002896
66,NTHC,snr,4.175634017824428
67,NTHC,snr,4.523670445022457
68,NTHC,snr,4.286562344630802
69,NTHC,snr,4.5629759977240685
70,NTHC,snr,4.149894944127407
71,NTHC,snr,4.231552384244305
72,NTHC,snr,3.606805602771233
73,NTHC,snr,3.1983389074612387
74,NTHC,snr,4.187600836993899
75,NTHC,snr,4.419302870798455
76,NTHC,snr,4.607293602923773
77,NTHC,snr,3.7923443434762727
78,NTHC,snr,5.347161022485731
79,NTHC,snr,3.5769479224801475
80,NTHC,snr,4.213413925454315
81,NTHC,snr,4.223239679224136
82,NTHC,snr,4.2100883905604265
83,NTHC,snr,3.8412123256946127
84,NTHC,snr,3.9720571867452903
85,NTHC,snr,3.8963933978399026
86,NTHC,snr,3.955994964787749
87,NTHC,snr,3.7188668042463378
88,NTHC,snr,3.679534643864154
89,NTHC,snr,3.754469088959389
90,NTHC,snr,3.786562443509661
91,NTHC,snr,3.599421854939112
92,NTHC,snr,3.8127036470095583
93,NTHC,snr,3.897424652324782
94,NTHC,snr,3.604603545731479
95,NTHC,snr,4.045378196843221
96,NTHC,snr,3.812865969558902
97,NTHC,snr,4.578811849557001
98,NTHC,snr,3.7542579387124873
99,NTHC,snr,4.362430045613201
100,NTHC,snr,4.417163423160017
101,NTHC,snr,4.365316036424136
102,NTHC,snr,4.158408526706653
103,NTHC,snr,4.596082244141707
104,NTHC,snr,4.417404015475698
105,NTHC,snr,3.753453191872323
106,NTHC,snr,3.922924736887526
107,NTHC,snr,4.137952911472148
108,NTHC,snr,3.760030003395599
109,NTHC,snr,3.843173735597425
110,NTHC,snr,3.7850649957771334
111,NTHC,snr,4.45197883055138
112,NTHC,snr,4.061097623302409
113,NTHC,snr,3.716960035277184
114,NTHC,snr,4.169710363409589
115,NTHC,snr,3.670343194742395
116,NTHC,snr,3.442069472828091
117,NTHC,snr,4.140956826970886
118,NTHC,snr,4.0474472200139076
119,NTHC,snr,3.9333732454150176
120,NTHC,snr,3.233181654689291
121,NTHC,snr,3.333015930015135
122,NTHC,snr,3.739415186457052
123,NTHC,snr,3.3197013294770934
124,NTHC,snr,3.913430191013398
125,NTHC,snr,3.991297360079896
126,NTHC,snr,4.201045944944747
127,NTHC,snr,4.161589596469644
128,NTHC,snr,4.0584777165022965
129,NTHC,snr,3.925081624032092
130,NTHC,snr,4.002817164011802
131,NTHC,snr,5.212265283906412
132,NTHC,snr,4.098621406877829
133,NTHC,snr,3.8596538667104943
134,NTHC,snr,3.961835191399441
135,NTHC,snr,3.901483458701254
136,NTHC,snr,3.9425350627688873
137,NTHC,snr,3.798080310154613
138,NTHC,snr,4.041415443835168
139,NTHC,snr,3.675216721028187
140,NTHC,snr,3.7022437762520064
141,NTHC,snr,3.772971646735153
142,NTHC,snr,4.21947926295561
143,NTHC,snr,3.89464445081332
144,NTHC,snr,3.8006084910121585
145,NTHC,snr,3.7537511357592854
146,NTHC,snr,3.8032962881414343
147,NTHC,snr,3.989239528034884
148,NTHC,snr,4.377785876016428
149,NTHC,snr,4.005175072318156
150,NTHC,snr,4.347991083414513
151,NTHC,snr,3.9957870391132273
152,NTHC,snr,4.323911687884505
153,NTHC,snr,5.2703766058368
154,NTHC,snr,4.327778239867164
155,NTHC,snr,3.9096867905077017
156,NTHC,snr,4.079381843884318
157,NTHC,snr,4.312848637807915
158,NTHC,snr,4.259647440171582
159,NTHC,snr,4.898876811362022
160,NTHC,snr,4.266278621648286
161,NTHC,snr,4.248426452434398
162,NTHC,snr,4.516066385877051
163,NTHC,snr,4.444816702760358
164,NTHC,snr,4.785999715541408
165,NTHC,snr,4.303397654782467
166,NTHC,snr,4.180753577973527
167,NTHC,snr,4.835960796321565
168,NTHC,snr,4.500954380420186
169,NTHC,snr,4.141770555273546
170,NTHC,snr,4.406868199728279
171,NTHC,snr,4.53533425347838
172,NTHC,snr,4.155165367707117
173,NTHC,snr,4.559769777970905
174,NTHC,snr,4.639647654054617
175,NTHC,snr,6.41639202144719
176,NTHC,snr,4.295232846384247
177,NTHC,snr,4.309191942718011
178,NTHC,snr,4.2941327746040185
179,NTHC,snr,4.385475467326194
180,NTHC,snr,4.438691023189792
181,NTHC,snr,4.444177398802379
182,NTHC,snr,4.316867489676872
183,NTHC,snr,4.206705015694624
184,NTHC,snr,4.513232290474899
185,NTHC,snr,4.373597143833196
186,NTHC,snr,5.750798729855182
187,NTHC,snr,4.87769862969981
188,NTHC,snr,4.64840085524719
189,NTHC,snr,3.4833804337646357
190,NTHC,snr,3.921320728666911
