,compare,tsnr,task,data type
0,mriqc,32.147117614746094,mriqc,tsnr
1,mriqc,58.37970733642578,mriqc,tsnr
2,mriqc,81.28583526611328,mriqc,tsnr
3,mriqc,78.30828857421875,mriqc,tsnr
4,mriqc,54.93262481689453,mriqc,tsnr
5,mriqc,53.01719665527344,mriqc,tsnr
6,mriqc,52.12681579589844,mriqc,tsnr
7,mriqc,31.1539363861084,mriqc,tsnr
8,mriqc,26.55389976501465,mriqc,tsnr
9,mriqc,31.873628616333008,mriqc,tsnr
10,mriqc,65.11994934082031,mriqc,tsnr
11,mriqc,57.5565185546875,mriqc,tsnr
12,mriqc,55.063209533691406,mriqc,tsnr
13,mriqc,60.81700897216797,mriqc,tsnr
14,mriqc,64.10936737060547,mriqc,tsnr
15,mriqc,42.18368911743164,mriqc,tsnr
16,mriqc,48.967891693115234,mriqc,tsnr
17,mriqc,52.367942810058594,mriqc,tsnr
18,mriqc,65.03126525878906,mriqc,tsnr
19,mriqc,66.09603881835938,mriqc,tsnr
20,mriqc,61.356571197509766,mriqc,tsnr
21,mriqc,60.37487030029297,mriqc,tsnr
22,mriqc,60.41020584106445,mriqc,tsnr
23,mriqc,46.11579513549805,mriqc,tsnr
24,mriqc,42.39073181152344,mriqc,tsnr
25,mriqc,41.23047637939453,mriqc,tsnr
26,mriqc,56.3216667175293,mriqc,tsnr
27,mriqc,55.45806884765625,mriqc,tsnr
28,mriqc,48.76634216308594,mriqc,tsnr
29,mriqc,51.92231750488281,mriqc,tsnr
30,mriqc,60.70859909057617,mriqc,tsnr
31,mriqc,62.467506408691406,mriqc,tsnr
32,mriqc,64.52247619628906,mriqc,tsnr
33,mriqc,55.51189422607422,mriqc,tsnr
34,mriqc,42.359771728515625,mriqc,tsnr
35,mriqc,45.30965423583984,mriqc,tsnr
36,mriqc,51.57047653198242,mriqc,tsnr
37,mriqc,64.86783599853516,mriqc,tsnr
38,mriqc,61.24467086791992,mriqc,tsnr
39,mriqc,48.37511444091797,mriqc,tsnr
40,mriqc,43.20367431640625,mriqc,tsnr
41,mriqc,36.65180206298828,mriqc,tsnr
42,mriqc,52.10744094848633,mriqc,tsnr
43,mriqc,53.04911804199219,mriqc,tsnr
44,mriqc,49.29856491088867,mriqc,tsnr
45,mriqc,51.89576721191406,mriqc,tsnr
46,mriqc,54.23131561279297,mriqc,tsnr
