,compare,efc,task,data type
0,mriqc,0.4055669784131295,mriqc,efc
1,mriqc,0.4047812302882337,mriqc,efc
2,mriqc,0.5220698739227729,mriqc,efc
3,mriqc,0.5158867359095752,mriqc,efc
4,mriqc,0.562566179633827,mriqc,efc
5,mriqc,0.5612862094976305,mriqc,efc
6,mriqc,0.5597692794561874,mriqc,efc
7,mriqc,0.5022586133341217,mriqc,efc
8,mriqc,0.5016443955843912,mriqc,efc
9,mriqc,0.5010289626556594,mriqc,efc
10,mriqc,0.5067124100799865,mriqc,efc
11,mriqc,0.5053816233673736,mriqc,efc
12,mriqc,0.5034383864381228,mriqc,efc
13,mriqc,0.4791675610104413,mriqc,efc
14,mriqc,0.478457012707156,mriqc,efc
15,mriqc,0.477886154753607,mriqc,efc
16,mriqc,0.5260088450305792,mriqc,efc
17,mriqc,0.5275851531368569,mriqc,efc
18,mriqc,0.5370310709261472,mriqc,efc
19,mriqc,0.5366702179981806,mriqc,efc
20,mriqc,0.5361566391639185,mriqc,efc
21,mriqc,0.5263271666935017,mriqc,efc
22,mriqc,0.5256804705231919,mriqc,efc
23,mriqc,0.5379493596032398,mriqc,efc
24,mriqc,0.5371164648686907,mriqc,efc
25,mriqc,0.5365756549777185,mriqc,efc
26,mriqc,0.5240987493468175,mriqc,efc
27,mriqc,0.5220992275356446,mriqc,efc
28,mriqc,0.5561715210813049,mriqc,efc
29,mriqc,0.5530959030291023,mriqc,efc
30,mriqc,0.5206040050099968,mriqc,efc
31,mriqc,0.5200334784689028,mriqc,efc
32,mriqc,0.5195176902182748,mriqc,efc
33,mriqc,0.5331928175798324,mriqc,efc
34,mriqc,0.5349401897482428,mriqc,efc
35,mriqc,0.5360725156357855,mriqc,efc
36,mriqc,0.509556536532448,mriqc,efc
37,mriqc,0.5088533345385794,mriqc,efc
38,mriqc,0.5082623708961004,mriqc,efc
39,mriqc,0.488826521772817,mriqc,efc
40,mriqc,0.4897048200136861,mriqc,efc
41,mriqc,0.4888682797421332,mriqc,efc
42,mriqc,0.5732969282753188,mriqc,efc
43,mriqc,0.573462634502764,mriqc,efc
44,mriqc,0.5755729033092796,mriqc,efc
45,mriqc,0.5325948121575274,mriqc,efc
46,mriqc,0.5315566553057579,mriqc,efc
47,mriqc,0.5325948121575274,mriqc,efc
48,mriqc,0.5315566553057579,mriqc,efc
49,mriqc,0.5309717576230556,mriqc,efc
50,mriqc,0.5325948121575274,mriqc,efc
51,mriqc,0.5315566553057579,mriqc,efc
52,mriqc,0.5309717576230556,mriqc,efc
53,mriqc,0.5502974645154421,mriqc,efc
54,mriqc,0.5408665043633448,mriqc,efc
55,mriqc,0.5158867359095752,mriqc,efc
56,mriqc,0.5347087063343573,mriqc,efc
57,mriqc,0.5220698739227729,mriqc,efc
58,mriqc,0.5262062323022672,mriqc,efc
59,mriqc,0.4920379528795199,mriqc,efc
60,mriqc,0.4912366554199192,mriqc,efc
61,mriqc,0.4902022644863451,mriqc,efc
62,mriqc,0.4900723684124718,mriqc,efc
63,mriqc,0.4900185776107856,mriqc,efc
64,mriqc,0.4903050122245711,mriqc,efc
65,mriqc,0.5462019739211609,mriqc,efc
66,mriqc,0.5452769632384554,mriqc,efc
67,mriqc,0.5453644786806972,mriqc,efc
68,mriqc,0.5459891152315208,mriqc,efc
69,mriqc,0.5471212514149718,mriqc,efc
70,mriqc,0.5450928267010219,mriqc,efc
71,mriqc,0.4961555645366748,mriqc,efc
72,mriqc,0.4954632572661228,mriqc,efc
73,mriqc,0.4953355408677696,mriqc,efc
74,mriqc,0.4947676813115737,mriqc,efc
75,mriqc,0.4940944512694402,mriqc,efc
76,mriqc,0.5670978736248703,mriqc,efc
77,mriqc,0.5669391991910562,mriqc,efc
78,mriqc,0.5658365158603571,mriqc,efc
79,mriqc,0.5681310841960249,mriqc,efc
80,mriqc,0.5670214873140118,mriqc,efc
81,mriqc,0.5224488102541137,mriqc,efc
82,mriqc,0.523120380263044,mriqc,efc
83,mriqc,0.5238434365565557,mriqc,efc
84,mriqc,0.5234025430890257,mriqc,efc
85,mriqc,0.5221007719635801,mriqc,efc
86,mriqc,0.5472224253366386,mriqc,efc
87,mriqc,0.546925985746155,mriqc,efc
88,mriqc,0.5456824458334021,mriqc,efc
89,mriqc,0.5448560797243217,mriqc,efc
90,mriqc,0.5457747389330558,mriqc,efc
91,mriqc,0.5470419985096662,mriqc,efc
92,mriqc,0.5221954464523773,mriqc,efc
93,mriqc,0.5228572063852125,mriqc,efc
94,mriqc,0.488826521772817,mriqc,efc
95,mriqc,0.4897048200136861,mriqc,efc
96,mriqc,0.4888682797421332,mriqc,efc
97,mriqc,0.4835100959036368,mriqc,efc
98,mriqc,0.4837559306555158,mriqc,efc
99,mriqc,0.4840731415797644,mriqc,efc
100,mriqc,0.483074618049317,mriqc,efc
101,mriqc,0.48297239738614,mriqc,efc
102,mriqc,0.4831379413729305,mriqc,efc
103,mriqc,0.5022586133341217,mriqc,efc
104,mriqc,0.5016443955843912,mriqc,efc
105,mriqc,0.5010289626556594,mriqc,efc
106,mriqc,0.5275851531368569,mriqc,efc
107,mriqc,0.5260088450305792,mriqc,efc
108,mriqc,0.4791675610104413,mriqc,efc
109,mriqc,0.5034383864381228,mriqc,efc
110,mriqc,0.5067124100799865,mriqc,efc
111,mriqc,0.477886154753607,mriqc,efc
112,mriqc,0.478457012707156,mriqc,efc
113,mriqc,0.5053816233673736,mriqc,efc
114,mriqc,0.5732969282753188,mriqc,efc
115,mriqc,0.5366702179981806,mriqc,efc
116,mriqc,0.573462634502764,mriqc,efc
117,mriqc,0.5755729033092796,mriqc,efc
118,mriqc,0.5530959030291023,mriqc,efc
119,mriqc,0.5561715210813049,mriqc,efc
120,mriqc,0.5361566391639185,mriqc,efc
121,mriqc,0.5370310709261472,mriqc,efc
122,mriqc,0.5315566553057579,mriqc,efc
123,mriqc,0.5331928175798324,mriqc,efc
124,mriqc,0.5309717576230556,mriqc,efc
125,mriqc,0.509556536532448,mriqc,efc
126,mriqc,0.5349401897482428,mriqc,efc
127,mriqc,0.5088533345385794,mriqc,efc
128,mriqc,0.5200334784689028,mriqc,efc
129,mriqc,0.5082623708961004,mriqc,efc
130,mriqc,0.5206040050099968,mriqc,efc
131,mriqc,0.5325948121575274,mriqc,efc
132,mriqc,0.5195176902182748,mriqc,efc
133,mriqc,0.5360725156357855,mriqc,efc
134,mriqc,0.5379493596032398,mriqc,efc
135,mriqc,0.5371164648686907,mriqc,efc
136,mriqc,0.5365756549777185,mriqc,efc
137,mriqc,0.488826521772817,mriqc,efc
138,mriqc,0.5256804705231919,mriqc,efc
139,mriqc,0.5220992275356446,mriqc,efc
140,mriqc,0.5240987493468175,mriqc,efc
141,mriqc,0.4888682797421332,mriqc,efc
142,mriqc,0.5263271666935017,mriqc,efc
143,mriqc,0.4897048200136861,mriqc,efc
144,mriqc,0.5612862094976305,mriqc,efc
145,mriqc,0.562566179633827,mriqc,efc
146,mriqc,0.5597692794561874,mriqc,efc
147,mriqc,0.5440018776348939,mriqc,efc
148,mriqc,0.5408580954478668,mriqc,efc
149,mriqc,0.6107588281222252,mriqc,efc
150,mriqc,0.6041914064204625,mriqc,efc
151,mriqc,0.5372955065122286,mriqc,efc
152,mriqc,0.6082753649191023,mriqc,efc
153,mriqc,0.543223482566684,mriqc,efc
154,mriqc,0.6120954432118734,mriqc,efc
