,compare,fber,task,data type
0,mriqc,7971.8525390625,mriqc,fber
1,mriqc,8566.06640625,mriqc,fber
2,mriqc,9236.9970703125,mriqc,fber
3,mriqc,8223.65625,mriqc,fber
4,mriqc,1818.00927734375,mriqc,fber
5,mriqc,1826.300537109375,mriqc,fber
6,mriqc,1864.5799560546875,mriqc,fber
7,mriqc,2850.4228515625,mriqc,fber
8,mriqc,2757.400634765625,mriqc,fber
9,mriqc,2914.6865234375,mriqc,fber
10,mriqc,2773.16943359375,mriqc,fber
11,mriqc,2758.2568359375,mriqc,fber
12,mriqc,2787.9736328125,mriqc,fber
13,mriqc,3306.460693359375,mriqc,fber
14,mriqc,3342.070556640625,mriqc,fber
15,mriqc,3261.316650390625,mriqc,fber
16,mriqc,2318.505126953125,mriqc,fber
17,mriqc,2286.88720703125,mriqc,fber
18,mriqc,2336.248779296875,mriqc,fber
19,mriqc,2348.3330078125,mriqc,fber
20,mriqc,2365.029052734375,mriqc,fber
21,mriqc,2402.315185546875,mriqc,fber
22,mriqc,2388.044921875,mriqc,fber
23,mriqc,1385.2674560546875,mriqc,fber
24,mriqc,1394.74560546875,mriqc,fber
25,mriqc,1363.5135498046875,mriqc,fber
26,mriqc,2164.418701171875,mriqc,fber
27,mriqc,2178.902587890625,mriqc,fber
28,mriqc,1673.717041015625,mriqc,fber
29,mriqc,1780.69970703125,mriqc,fber
30,mriqc,2181.62841796875,mriqc,fber
31,mriqc,2239.732177734375,mriqc,fber
32,mriqc,2253.3662109375,mriqc,fber
33,mriqc,1959.1983642578125,mriqc,fber
34,mriqc,1857.877685546875,mriqc,fber
35,mriqc,1846.193603515625,mriqc,fber
36,mriqc,2348.527099609375,mriqc,fber
37,mriqc,2437.9443359375,mriqc,fber
38,mriqc,2421.88232421875,mriqc,fber
39,mriqc,2627.10205078125,mriqc,fber
40,mriqc,2552.14990234375,mriqc,fber
41,mriqc,2547.392578125,mriqc,fber
42,mriqc,1325.304931640625,mriqc,fber
43,mriqc,1332.9404296875,mriqc,fber
44,mriqc,1293.7308349609375,mriqc,fber
45,mriqc,1872.5029296875,mriqc,fber
46,mriqc,1884.155517578125,mriqc,fber
47,mriqc,1872.5029296875,mriqc,fber
48,mriqc,1884.155517578125,mriqc,fber
49,mriqc,1904.560791015625,mriqc,fber
50,mriqc,1872.5029296875,mriqc,fber
51,mriqc,1884.155517578125,mriqc,fber
52,mriqc,1904.560791015625,mriqc,fber
53,mriqc,5780.34423828125,mriqc,fber
54,mriqc,9640.7138671875,mriqc,fber
55,mriqc,8223.65625,mriqc,fber
56,mriqc,9596.0771484375,mriqc,fber
57,mriqc,9236.9970703125,mriqc,fber
58,mriqc,9253.53125,mriqc,fber
59,mriqc,2107.110595703125,mriqc,fber
60,mriqc,2088.450439453125,mriqc,fber
61,mriqc,2158.1298828125,mriqc,fber
62,mriqc,2165.82421875,mriqc,fber
63,mriqc,2114.21533203125,mriqc,fber
64,mriqc,2147.39306640625,mriqc,fber
65,mriqc,1879.70556640625,mriqc,fber
66,mriqc,1913.329833984375,mriqc,fber
67,mriqc,1912.1033935546875,mriqc,fber
68,mriqc,1817.868896484375,mriqc,fber
69,mriqc,1791.730224609375,mriqc,fber
70,mriqc,1867.8997802734375,mriqc,fber
71,mriqc,3040.745849609375,mriqc,fber
72,mriqc,3055.85791015625,mriqc,fber
73,mriqc,3043.584716796875,mriqc,fber
74,mriqc,3053.88427734375,mriqc,fber
75,mriqc,3108.583740234375,mriqc,fber
76,mriqc,1420.794677734375,mriqc,fber
77,mriqc,1420.7322998046875,mriqc,fber
78,mriqc,1428.96337890625,mriqc,fber
79,mriqc,1367.256103515625,mriqc,fber
80,mriqc,1398.6102294921875,mriqc,fber
81,mriqc,2236.551513671875,mriqc,fber
82,mriqc,2174.93017578125,mriqc,fber
83,mriqc,2292.021240234375,mriqc,fber
84,mriqc,2203.841064453125,mriqc,fber
85,mriqc,2239.1142578125,mriqc,fber
86,mriqc,2149.6943359375,mriqc,fber
87,mriqc,2192.01611328125,mriqc,fber
88,mriqc,2235.591552734375,mriqc,fber
89,mriqc,2362.10888671875,mriqc,fber
90,mriqc,2270.02783203125,mriqc,fber
91,mriqc,2271.6015625,mriqc,fber
92,mriqc,1973.52783203125,mriqc,fber
93,mriqc,1985.8231201171875,mriqc,fber
94,mriqc,2627.10205078125,mriqc,fber
95,mriqc,2552.14990234375,mriqc,fber
96,mriqc,2547.392578125,mriqc,fber
97,mriqc,3015.233642578125,mriqc,fber
98,mriqc,3000.135498046875,mriqc,fber
99,mriqc,2975.01513671875,mriqc,fber
100,mriqc,3122.0771484375,mriqc,fber
101,mriqc,3114.753662109375,mriqc,fber
102,mriqc,3034.142578125,mriqc,fber
103,mriqc,2850.4228515625,mriqc,fber
104,mriqc,2757.400634765625,mriqc,fber
105,mriqc,2914.6865234375,mriqc,fber
106,mriqc,2286.88720703125,mriqc,fber
107,mriqc,2318.505126953125,mriqc,fber
108,mriqc,3306.460693359375,mriqc,fber
109,mriqc,2787.9736328125,mriqc,fber
110,mriqc,2773.16943359375,mriqc,fber
111,mriqc,3261.316650390625,mriqc,fber
112,mriqc,3342.070556640625,mriqc,fber
113,mriqc,2758.2568359375,mriqc,fber
114,mriqc,1325.304931640625,mriqc,fber
115,mriqc,2348.3330078125,mriqc,fber
116,mriqc,1332.9404296875,mriqc,fber
117,mriqc,1293.7308349609375,mriqc,fber
118,mriqc,1780.69970703125,mriqc,fber
119,mriqc,1673.717041015625,mriqc,fber
120,mriqc,2365.029052734375,mriqc,fber
121,mriqc,2336.248779296875,mriqc,fber
122,mriqc,1884.155517578125,mriqc,fber
123,mriqc,1959.1983642578125,mriqc,fber
124,mriqc,1904.560791015625,mriqc,fber
125,mriqc,2348.527099609375,mriqc,fber
126,mriqc,1857.877685546875,mriqc,fber
127,mriqc,2437.9443359375,mriqc,fber
128,mriqc,2239.732177734375,mriqc,fber
129,mriqc,2421.88232421875,mriqc,fber
130,mriqc,2181.62841796875,mriqc,fber
131,mriqc,1872.5029296875,mriqc,fber
132,mriqc,2253.3662109375,mriqc,fber
133,mriqc,1846.193603515625,mriqc,fber
134,mriqc,1385.2674560546875,mriqc,fber
135,mriqc,1394.74560546875,mriqc,fber
136,mriqc,1363.5135498046875,mriqc,fber
137,mriqc,2627.10205078125,mriqc,fber
138,mriqc,2388.044921875,mriqc,fber
139,mriqc,2178.902587890625,mriqc,fber
140,mriqc,2164.418701171875,mriqc,fber
141,mriqc,2547.392578125,mriqc,fber
142,mriqc,2402.315185546875,mriqc,fber
143,mriqc,2552.14990234375,mriqc,fber
144,mriqc,1826.300537109375,mriqc,fber
145,mriqc,1818.00927734375,mriqc,fber
146,mriqc,1864.5799560546875,mriqc,fber
147,mriqc,1046.4266357421875,mriqc,fber
148,mriqc,1092.2176513671875,mriqc,fber
149,mriqc,698.5524291992188,mriqc,fber
150,mriqc,735.0303344726562,mriqc,fber
151,mriqc,1117.62255859375,mriqc,fber
152,mriqc,715.4384155273438,mriqc,fber
153,mriqc,1067.822509765625,mriqc,fber
154,mriqc,687.2831420898438,mriqc,fber
155,mriqc,1053.5418701171875,mriqc,fber
156,mriqc,675.3106079101562,mriqc,fber
157,mriqc,1019.865966796875,mriqc,fber
158,mriqc,1004.0888671875,mriqc,fber
159,mriqc,1109.5662841796875,mriqc,fber
160,mriqc,1042.2115478515625,mriqc,fber
161,mriqc,866.3660278320312,mriqc,fber
162,mriqc,938.1121826171876,mriqc,fber
163,mriqc,765.6209106445312,mriqc,fber
164,mriqc,942.3549194335938,mriqc,fber
165,mriqc,1138.136962890625,mriqc,fber
166,mriqc,936.3640747070312,mriqc,fber
167,mriqc,950.3330688476562,mriqc,fber
168,mriqc,807.6580810546875,mriqc,fber
169,mriqc,816.3544311523438,mriqc,fber
170,mriqc,816.3094482421875,mriqc,fber
171,mriqc,810.7972412109375,mriqc,fber
172,mriqc,1064.4193115234375,mriqc,fber
173,mriqc,716.755859375,mriqc,fber
174,mriqc,777.0830078125,mriqc,fber
175,mriqc,766.1296997070312,mriqc,fber
176,mriqc,695.5714111328125,mriqc,fber
177,mriqc,950.6199951171876,mriqc,fber
178,mriqc,766.8794555664062,mriqc,fber
179,mriqc,984.5131225585938,mriqc,fber
180,mriqc,1093.900634765625,mriqc,fber
181,mriqc,1112.7886962890625,mriqc,fber
182,mriqc,1113.333740234375,mriqc,fber
183,mriqc,1095.6844482421875,mriqc,fber
184,mriqc,1104.4034423828125,mriqc,fber
185,mriqc,1096.9771728515625,mriqc,fber
186,mriqc,758.284912109375,mriqc,fber
187,mriqc,726.170654296875,mriqc,fber
188,mriqc,1011.6005859375,mriqc,fber
189,mriqc,1031.4927978515625,mriqc,fber
190,mriqc,949.3851928710938,mriqc,fber
191,mriqc,1081.6124267578125,mriqc,fber
192,mriqc,762.7525634765625,mriqc,fber
193,mriqc,770.3518676757812,mriqc,fber
194,mriqc,1095.103759765625,mriqc,fber
195,mriqc,797.7101440429688,mriqc,fber
196,mriqc,1083.854736328125,mriqc,fber
197,mriqc,741.30078125,mriqc,fber
198,mriqc,1057.8111572265625,mriqc,fber
199,mriqc,1126.7852783203125,mriqc,fber
200,mriqc,980.4130249023438,mriqc,fber
201,mriqc,1072.333984375,mriqc,fber
202,mriqc,792.1762084960938,mriqc,fber
203,mriqc,1119.1993408203125,mriqc,fber
204,mriqc,775.7518920898438,mriqc,fber
205,mriqc,683.1216430664062,mriqc,fber
206,mriqc,1011.1986694335938,mriqc,fber
207,mriqc,717.5838012695312,mriqc,fber
208,mriqc,804.6104736328125,mriqc,fber
209,mriqc,757.1033325195312,mriqc,fber
210,mriqc,1110.56103515625,mriqc,fber
211,mriqc,711.3472900390625,mriqc,fber
212,mriqc,718.7745361328125,mriqc,fber
213,mriqc,1229.23681640625,mriqc,fber
214,mriqc,739.9370727539062,mriqc,fber
215,mriqc,1064.9808349609375,mriqc,fber
216,mriqc,1092.267578125,mriqc,fber
217,mriqc,744.436767578125,mriqc,fber
218,mriqc,972.0911254882812,mriqc,fber
219,mriqc,1082.9971923828125,mriqc,fber
220,mriqc,653.00341796875,mriqc,fber
221,mriqc,1022.9183959960938,mriqc,fber
222,mriqc,795.302490234375,mriqc,fber
223,mriqc,1116.338623046875,mriqc,fber
224,mriqc,821.7295532226562,mriqc,fber
225,mriqc,1007.6524047851562,mriqc,fber
226,mriqc,1153.6785888671875,mriqc,fber
227,mriqc,1109.4273681640625,mriqc,fber
228,mriqc,1104.6812744140625,mriqc,fber
229,mriqc,1063.9410400390625,mriqc,fber
230,mriqc,1241.875244140625,mriqc,fber
231,mriqc,1241.915283203125,mriqc,fber
232,mriqc,774.7659912109375,mriqc,fber
233,mriqc,776.397216796875,mriqc,fber
234,mriqc,801.465576171875,mriqc,fber
235,mriqc,787.4761962890625,mriqc,fber
236,mriqc,1021.8272705078124,mriqc,fber
237,mriqc,828.6295776367188,mriqc,fber
238,mriqc,1014.1646118164062,mriqc,fber
239,mriqc,1149.1522216796875,mriqc,fber
240,mriqc,1172.1214599609375,mriqc,fber
241,mriqc,749.5994262695312,mriqc,fber
242,mriqc,514.5734252929688,mriqc,fber
243,mriqc,1118.4215087890625,mriqc,fber
244,mriqc,1027.023193359375,mriqc,fber
245,mriqc,1125.32177734375,mriqc,fber
246,mriqc,1132.318115234375,mriqc,fber
247,mriqc,482.2018737792969,mriqc,fber
248,mriqc,483.8852844238281,mriqc,fber
249,mriqc,752.9336547851562,mriqc,fber
250,mriqc,1099.6131591796875,mriqc,fber
251,mriqc,1101.325439453125,mriqc,fber
252,mriqc,763.8597412109375,mriqc,fber
253,mriqc,521.5687255859375,mriqc,fber
254,mriqc,983.0928955078124,mriqc,fber
255,mriqc,1010.9141845703124,mriqc,fber
256,mriqc,1158.1527099609375,mriqc,fber
257,mriqc,502.8870544433594,mriqc,fber
258,mriqc,1150.6387939453125,mriqc,fber
259,mriqc,868.6334838867188,mriqc,fber
260,mriqc,1113.731689453125,mriqc,fber
261,mriqc,779.6692504882812,mriqc,fber
262,mriqc,1148.047119140625,mriqc,fber
263,mriqc,760.0286254882812,mriqc,fber
264,mriqc,745.45703125,mriqc,fber
265,mriqc,804.03125,mriqc,fber
