,compare,gcor,task,data type
0,mriqc,0.0379311,mriqc,gcor
1,mriqc,0.00823326,mriqc,gcor
2,mriqc,0.035455,mriqc,gcor
3,mriqc,0.00732825,mriqc,gcor
4,mriqc,0.0184341,mriqc,gcor
5,mriqc,0.0119691,mriqc,gcor
6,mriqc,0.00904591,mriqc,gcor
7,mriqc,0.0731418,mriqc,gcor
8,mriqc,0.0636599,mriqc,gcor
9,mriqc,0.0838663,mriqc,gcor
10,mriqc,0.00481522,mriqc,gcor
11,mriqc,0.00625156,mriqc,gcor
12,mriqc,0.00331936,mriqc,gcor
13,mriqc,0.0163872,mriqc,gcor
14,mriqc,0.0169556,mriqc,gcor
15,mriqc,0.0102895,mriqc,gcor
16,mriqc,0.0425058,mriqc,gcor
17,mriqc,0.0122211,mriqc,gcor
18,mriqc,0.0143003,mriqc,gcor
19,mriqc,0.0128722,mriqc,gcor
20,mriqc,0.0145081,mriqc,gcor
21,mriqc,0.0104651,mriqc,gcor
22,mriqc,0.0155845,mriqc,gcor
23,mriqc,0.0103302,mriqc,gcor
24,mriqc,0.0178286,mriqc,gcor
25,mriqc,0.0185678,mriqc,gcor
26,mriqc,0.0115038,mriqc,gcor
27,mriqc,0.00921556,mriqc,gcor
28,mriqc,0.00858998,mriqc,gcor
29,mriqc,0.0386689,mriqc,gcor
30,mriqc,0.0193883,mriqc,gcor
31,mriqc,0.0180062,mriqc,gcor
32,mriqc,0.0168081,mriqc,gcor
33,mriqc,0.0181942,mriqc,gcor
34,mriqc,0.00964541,mriqc,gcor
35,mriqc,0.0193643,mriqc,gcor
36,mriqc,0.0118467,mriqc,gcor
37,mriqc,0.0068617,mriqc,gcor
38,mriqc,0.005798,mriqc,gcor
39,mriqc,0.0129254,mriqc,gcor
40,mriqc,0.0175325,mriqc,gcor
41,mriqc,0.00680925,mriqc,gcor
42,mriqc,0.0121903,mriqc,gcor
43,mriqc,0.0123113,mriqc,gcor
44,mriqc,0.0123106,mriqc,gcor
45,mriqc,0.0126933,mriqc,gcor
46,mriqc,0.0141836,mriqc,gcor
47,mriqc,0.0126933,mriqc,gcor
48,mriqc,0.0141836,mriqc,gcor
49,mriqc,0.00859361,mriqc,gcor
50,mriqc,0.0126933,mriqc,gcor
51,mriqc,0.0141836,mriqc,gcor
52,mriqc,0.00859361,mriqc,gcor
53,mriqc,0.0172436,mriqc,gcor
54,mriqc,0.0420546,mriqc,gcor
55,mriqc,0.00732825,mriqc,gcor
56,mriqc,0.00784828,mriqc,gcor
57,mriqc,0.035455,mriqc,gcor
58,mriqc,0.0333166,mriqc,gcor
59,mriqc,0.0277041,mriqc,gcor
60,mriqc,0.0243923,mriqc,gcor
61,mriqc,0.0155602,mriqc,gcor
62,mriqc,0.0123581,mriqc,gcor
63,mriqc,0.0182328,mriqc,gcor
64,mriqc,0.0115991,mriqc,gcor
65,mriqc,0.0195491,mriqc,gcor
66,mriqc,0.0157747,mriqc,gcor
67,mriqc,0.0106137,mriqc,gcor
68,mriqc,0.0116818,mriqc,gcor
69,mriqc,0.0099043,mriqc,gcor
70,mriqc,0.01214,mriqc,gcor
71,mriqc,0.00886783,mriqc,gcor
72,mriqc,0.0139162,mriqc,gcor
73,mriqc,0.0228166,mriqc,gcor
74,mriqc,0.0204943,mriqc,gcor
75,mriqc,0.021903,mriqc,gcor
76,mriqc,0.0284986,mriqc,gcor
77,mriqc,0.015267,mriqc,gcor
78,mriqc,0.0162225,mriqc,gcor
79,mriqc,0.0142736,mriqc,gcor
80,mriqc,0.00813937,mriqc,gcor
81,mriqc,0.0132305,mriqc,gcor
82,mriqc,0.0104546,mriqc,gcor
83,mriqc,0.0190081,mriqc,gcor
84,mriqc,0.00866301,mriqc,gcor
85,mriqc,0.0146577,mriqc,gcor
86,mriqc,0.0115818,mriqc,gcor
87,mriqc,0.00813283,mriqc,gcor
88,mriqc,0.0139341,mriqc,gcor
89,mriqc,0.0197344,mriqc,gcor
90,mriqc,0.0218146,mriqc,gcor
91,mriqc,0.0116658,mriqc,gcor
92,mriqc,0.0132844,mriqc,gcor
93,mriqc,0.00808298,mriqc,gcor
94,mriqc,0.0129254,mriqc,gcor
95,mriqc,0.0175325,mriqc,gcor
96,mriqc,0.00680925,mriqc,gcor
97,mriqc,0.00865299,mriqc,gcor
98,mriqc,0.00712868,mriqc,gcor
99,mriqc,0.0219461,mriqc,gcor
100,mriqc,0.011551,mriqc,gcor
101,mriqc,0.00927576,mriqc,gcor
102,mriqc,0.00632549,mriqc,gcor
103,mriqc,0.0731418,mriqc,gcor
104,mriqc,0.0636599,mriqc,gcor
105,mriqc,0.0838663,mriqc,gcor
106,mriqc,0.0122211,mriqc,gcor
107,mriqc,0.0425058,mriqc,gcor
108,mriqc,0.0163872,mriqc,gcor
109,mriqc,0.00331936,mriqc,gcor
110,mriqc,0.00481522,mriqc,gcor
111,mriqc,0.0102895,mriqc,gcor
112,mriqc,0.0169556,mriqc,gcor
113,mriqc,0.00625156,mriqc,gcor
114,mriqc,0.0121903,mriqc,gcor
115,mriqc,0.0128722,mriqc,gcor
116,mriqc,0.0123113,mriqc,gcor
117,mriqc,0.0123106,mriqc,gcor
118,mriqc,0.0386689,mriqc,gcor
119,mriqc,0.00858998,mriqc,gcor
120,mriqc,0.0145081,mriqc,gcor
121,mriqc,0.0143003,mriqc,gcor
122,mriqc,0.0141836,mriqc,gcor
123,mriqc,0.0181942,mriqc,gcor
124,mriqc,0.00859361,mriqc,gcor
125,mriqc,0.0118467,mriqc,gcor
126,mriqc,0.00964541,mriqc,gcor
127,mriqc,0.0068617,mriqc,gcor
128,mriqc,0.0180062,mriqc,gcor
129,mriqc,0.005798,mriqc,gcor
130,mriqc,0.0193883,mriqc,gcor
131,mriqc,0.0126933,mriqc,gcor
132,mriqc,0.0168081,mriqc,gcor
133,mriqc,0.0193643,mriqc,gcor
134,mriqc,0.0103302,mriqc,gcor
135,mriqc,0.0178286,mriqc,gcor
136,mriqc,0.0185678,mriqc,gcor
137,mriqc,0.0129254,mriqc,gcor
138,mriqc,0.0155845,mriqc,gcor
139,mriqc,0.00921556,mriqc,gcor
140,mriqc,0.0115038,mriqc,gcor
141,mriqc,0.00680925,mriqc,gcor
142,mriqc,0.0104651,mriqc,gcor
143,mriqc,0.0175325,mriqc,gcor
144,mriqc,0.0119691,mriqc,gcor
145,mriqc,0.0184341,mriqc,gcor
146,mriqc,0.00904591,mriqc,gcor
147,mriqc,0.0325596,mriqc,gcor
148,mriqc,0.051573,mriqc,gcor
149,mriqc,0.0199226,mriqc,gcor
150,mriqc,0.027706,mriqc,gcor
151,mriqc,0.0310915,mriqc,gcor
152,mriqc,0.0271666,mriqc,gcor
153,mriqc,0.0312827,mriqc,gcor
154,mriqc,0.031124,mriqc,gcor
155,mriqc,0.0298716,mriqc,gcor
156,mriqc,0.036843,mriqc,gcor
157,mriqc,0.0148946,mriqc,gcor
158,mriqc,0.0220188,mriqc,gcor
159,mriqc,0.065816,mriqc,gcor
160,mriqc,0.0465864,mriqc,gcor
161,mriqc,0.0374862,mriqc,gcor
162,mriqc,0.0171405,mriqc,gcor
163,mriqc,0.0208802,mriqc,gcor
164,mriqc,0.0361763,mriqc,gcor
165,mriqc,0.0532352,mriqc,gcor
166,mriqc,0.0382006,mriqc,gcor
167,mriqc,0.0152044,mriqc,gcor
168,mriqc,0.0333461,mriqc,gcor
169,mriqc,0.0225891,mriqc,gcor
170,mriqc,0.0359791,mriqc,gcor
171,mriqc,0.0106701,mriqc,gcor
172,mriqc,0.0396101,mriqc,gcor
173,mriqc,0.0345963,mriqc,gcor
174,mriqc,0.026577,mriqc,gcor
175,mriqc,0.0479977,mriqc,gcor
176,mriqc,0.0524195,mriqc,gcor
177,mriqc,0.0198073,mriqc,gcor
178,mriqc,0.017489,mriqc,gcor
179,mriqc,0.0328072,mriqc,gcor
180,mriqc,0.0500249,mriqc,gcor
181,mriqc,0.0598408,mriqc,gcor
182,mriqc,0.047794,mriqc,gcor
183,mriqc,0.0493643,mriqc,gcor
184,mriqc,0.0309992,mriqc,gcor
185,mriqc,0.0431027,mriqc,gcor
186,mriqc,0.0315579,mriqc,gcor
187,mriqc,0.0292862,mriqc,gcor
188,mriqc,0.0292339,mriqc,gcor
189,mriqc,0.0356059,mriqc,gcor
190,mriqc,0.0180874,mriqc,gcor
191,mriqc,0.0285121,mriqc,gcor
192,mriqc,0.048738,mriqc,gcor
193,mriqc,0.044061,mriqc,gcor
194,mriqc,0.0412014,mriqc,gcor
195,mriqc,0.0420686,mriqc,gcor
196,mriqc,0.0403148,mriqc,gcor
197,mriqc,0.0274204,mriqc,gcor
198,mriqc,0.0255423,mriqc,gcor
199,mriqc,0.0305009,mriqc,gcor
200,mriqc,0.0461843,mriqc,gcor
201,mriqc,0.0477557,mriqc,gcor
202,mriqc,0.0486473,mriqc,gcor
203,mriqc,0.0205605,mriqc,gcor
204,mriqc,0.0270161,mriqc,gcor
205,mriqc,0.0327776,mriqc,gcor
206,mriqc,0.0263845,mriqc,gcor
207,mriqc,0.0586591,mriqc,gcor
208,mriqc,0.0243762,mriqc,gcor
209,mriqc,0.0708146,mriqc,gcor
210,mriqc,0.0519566,mriqc,gcor
211,mriqc,0.068179,mriqc,gcor
212,mriqc,0.028814,mriqc,gcor
213,mriqc,0.0454257,mriqc,gcor
214,mriqc,0.0106628,mriqc,gcor
215,mriqc,0.0475105,mriqc,gcor
216,mriqc,0.012077,mriqc,gcor
217,mriqc,0.0279724,mriqc,gcor
218,mriqc,0.0400787,mriqc,gcor
219,mriqc,0.043292,mriqc,gcor
220,mriqc,0.011561,mriqc,gcor
221,mriqc,0.0228713,mriqc,gcor
222,mriqc,0.0466366,mriqc,gcor
223,mriqc,0.0219861,mriqc,gcor
224,mriqc,0.0202248,mriqc,gcor
225,mriqc,0.0240234,mriqc,gcor
226,mriqc,0.023513,mriqc,gcor
227,mriqc,0.0193513,mriqc,gcor
228,mriqc,0.0291455,mriqc,gcor
229,mriqc,0.0360789,mriqc,gcor
230,mriqc,0.0232074,mriqc,gcor
231,mriqc,0.0252532,mriqc,gcor
232,mriqc,0.0349452,mriqc,gcor
