,compare,gsr_x,task,data type
0,mriqc,-0.0378347858786582,mriqc,gsr_x
1,mriqc,-0.0362602248787879,mriqc,gsr_x
2,mriqc,-0.0010498856427147,mriqc,gsr_x
3,mriqc,0.0118798175826668,mriqc,gsr_x
4,mriqc,-0.0055142268538475,mriqc,gsr_x
5,mriqc,-0.0058950195088982,mriqc,gsr_x
6,mriqc,-0.0048371921293437,mriqc,gsr_x
7,mriqc,-0.0084796920418739,mriqc,gsr_x
8,mriqc,-0.0085576009005308,mriqc,gsr_x
9,mriqc,-0.0071715423837304,mriqc,gsr_x
10,mriqc,-0.0116141475737094,mriqc,gsr_x
11,mriqc,-0.0104361660778522,mriqc,gsr_x
12,mriqc,-0.0094655398279428,mriqc,gsr_x
13,mriqc,-0.0058366768062114,mriqc,gsr_x
14,mriqc,-0.005982719361782,mriqc,gsr_x
15,mriqc,-0.0048834653571248,mriqc,gsr_x
16,mriqc,0.0021204822696745,mriqc,gsr_x
17,mriqc,0.0005308263353072,mriqc,gsr_x
18,mriqc,-0.0100224604830145,mriqc,gsr_x
19,mriqc,-0.0097727868705987,mriqc,gsr_x
20,mriqc,-0.0104033546522259,mriqc,gsr_x
21,mriqc,-0.0023669942747801,mriqc,gsr_x
22,mriqc,-0.0015681198565289,mriqc,gsr_x
23,mriqc,-0.0022267152089625,mriqc,gsr_x
24,mriqc,-0.0010691180359572,mriqc,gsr_x
25,mriqc,-0.0011261340696364,mriqc,gsr_x
26,mriqc,-0.0113377636298537,mriqc,gsr_x
27,mriqc,-0.0101694082841277,mriqc,gsr_x
28,mriqc,-0.0092592434957623,mriqc,gsr_x
29,mriqc,-0.0071272808127105,mriqc,gsr_x
30,mriqc,-0.0059801619499921,mriqc,gsr_x
31,mriqc,-0.006133162882179,mriqc,gsr_x
32,mriqc,-0.0060451147146523,mriqc,gsr_x
33,mriqc,-0.0018080502049997,mriqc,gsr_x
34,mriqc,-0.0032459022477269,mriqc,gsr_x
35,mriqc,-0.0053081363439559,mriqc,gsr_x
36,mriqc,-0.0005837560165673,mriqc,gsr_x
37,mriqc,-0.0006002992740832,mriqc,gsr_x
38,mriqc,-0.000892793177627,mriqc,gsr_x
39,mriqc,-0.005038377828896,mriqc,gsr_x
40,mriqc,-0.0050619323737919,mriqc,gsr_x
41,mriqc,-0.0053183534182608,mriqc,gsr_x
42,mriqc,0.0195125341415405,mriqc,gsr_x
43,mriqc,0.0204310547560453,mriqc,gsr_x
44,mriqc,0.0189226251095533,mriqc,gsr_x
45,mriqc,-0.0003341151750646,mriqc,gsr_x
46,mriqc,-0.0004481512296479,mriqc,gsr_x
47,mriqc,-0.0003341151750646,mriqc,gsr_x
48,mriqc,-0.0004481512296479,mriqc,gsr_x
49,mriqc,-0.0003163225483149,mriqc,gsr_x
50,mriqc,-0.0003341151750646,mriqc,gsr_x
51,mriqc,-0.0004481512296479,mriqc,gsr_x
52,mriqc,-0.0003163225483149,mriqc,gsr_x
53,mriqc,-0.003698187181726,mriqc,gsr_x
54,mriqc,-0.0001200562910526,mriqc,gsr_x
55,mriqc,0.0118798175826668,mriqc,gsr_x
56,mriqc,0.006330931559205,mriqc,gsr_x
57,mriqc,-0.0010498856427147,mriqc,gsr_x
58,mriqc,3.520254904287867e-05,mriqc,gsr_x
59,mriqc,-0.0062056174501776,mriqc,gsr_x
60,mriqc,-0.006070451810956,mriqc,gsr_x
61,mriqc,-0.0061100190505385,mriqc,gsr_x
62,mriqc,-0.005384471733123,mriqc,gsr_x
63,mriqc,-0.0050849053077399,mriqc,gsr_x
64,mriqc,-0.0051352540031075,mriqc,gsr_x
65,mriqc,0.0047298842109739,mriqc,gsr_x
66,mriqc,0.0041888453997671,mriqc,gsr_x
67,mriqc,0.0040496098808944,mriqc,gsr_x
68,mriqc,0.0038574659265577,mriqc,gsr_x
69,mriqc,0.0027843103744089,mriqc,gsr_x
70,mriqc,0.000849925156217,mriqc,gsr_x
71,mriqc,-0.0039523639716207,mriqc,gsr_x
72,mriqc,-0.003522326471284,mriqc,gsr_x
73,mriqc,-0.0034242870751768,mriqc,gsr_x
74,mriqc,-0.0032578129321336,mriqc,gsr_x
75,mriqc,-0.0037204101681709,mriqc,gsr_x
76,mriqc,-0.0123361144214868,mriqc,gsr_x
77,mriqc,-0.0127296140417456,mriqc,gsr_x
78,mriqc,-0.0112545676529407,mriqc,gsr_x
79,mriqc,-0.0132270837202668,mriqc,gsr_x
80,mriqc,-0.0119248880073428,mriqc,gsr_x
81,mriqc,0.0028576808981597,mriqc,gsr_x
82,mriqc,0.0028879006858915,mriqc,gsr_x
83,mriqc,0.0062145208939909,mriqc,gsr_x
84,mriqc,0.004091381561011,mriqc,gsr_x
85,mriqc,0.0035523714032024,mriqc,gsr_x
86,mriqc,0.003848478430882,mriqc,gsr_x
87,mriqc,0.0036197344306856,mriqc,gsr_x
88,mriqc,0.0043228911235928,mriqc,gsr_x
89,mriqc,0.0076115895062685,mriqc,gsr_x
90,mriqc,0.0066795251332223,mriqc,gsr_x
91,mriqc,0.0047106659039855,mriqc,gsr_x
92,mriqc,0.0101504866033792,mriqc,gsr_x
93,mriqc,0.0096850991249084,mriqc,gsr_x
94,mriqc,-0.005038377828896,mriqc,gsr_x
95,mriqc,-0.0050619323737919,mriqc,gsr_x
96,mriqc,-0.0053183534182608,mriqc,gsr_x
97,mriqc,-0.002778555965051,mriqc,gsr_x
98,mriqc,-0.002919006627053,mriqc,gsr_x
99,mriqc,-0.0030411111656576,mriqc,gsr_x
100,mriqc,-0.0033663073554635,mriqc,gsr_x
101,mriqc,-0.0035799560137093,mriqc,gsr_x
102,mriqc,-0.0027567073702812,mriqc,gsr_x
103,mriqc,-0.0084796920418739,mriqc,gsr_x
104,mriqc,-0.0085576009005308,mriqc,gsr_x
105,mriqc,-0.0071715423837304,mriqc,gsr_x
106,mriqc,0.0005308263353072,mriqc,gsr_x
107,mriqc,0.0021204822696745,mriqc,gsr_x
108,mriqc,-0.0058366768062114,mriqc,gsr_x
109,mriqc,-0.0094655398279428,mriqc,gsr_x
110,mriqc,-0.0116141475737094,mriqc,gsr_x
111,mriqc,-0.0048834653571248,mriqc,gsr_x
112,mriqc,-0.005982719361782,mriqc,gsr_x
113,mriqc,-0.0104361660778522,mriqc,gsr_x
114,mriqc,0.0195125341415405,mriqc,gsr_x
115,mriqc,-0.0097727868705987,mriqc,gsr_x
116,mriqc,0.0204310547560453,mriqc,gsr_x
117,mriqc,0.0189226251095533,mriqc,gsr_x
118,mriqc,-0.0071272808127105,mriqc,gsr_x
119,mriqc,-0.0092592434957623,mriqc,gsr_x
120,mriqc,-0.0104033546522259,mriqc,gsr_x
121,mriqc,-0.0100224604830145,mriqc,gsr_x
122,mriqc,-0.0004481512296479,mriqc,gsr_x
123,mriqc,-0.0018080502049997,mriqc,gsr_x
124,mriqc,-0.0003163225483149,mriqc,gsr_x
125,mriqc,-0.0005837560165673,mriqc,gsr_x
126,mriqc,-0.0032459022477269,mriqc,gsr_x
127,mriqc,-0.0006002992740832,mriqc,gsr_x
128,mriqc,-0.006133162882179,mriqc,gsr_x
129,mriqc,-0.000892793177627,mriqc,gsr_x
130,mriqc,-0.0059801619499921,mriqc,gsr_x
131,mriqc,-0.0003341151750646,mriqc,gsr_x
132,mriqc,-0.0060451147146523,mriqc,gsr_x
133,mriqc,-0.0053081363439559,mriqc,gsr_x
134,mriqc,-0.0022267152089625,mriqc,gsr_x
135,mriqc,-0.0010691180359572,mriqc,gsr_x
136,mriqc,-0.0011261340696364,mriqc,gsr_x
137,mriqc,-0.005038377828896,mriqc,gsr_x
138,mriqc,-0.0015681198565289,mriqc,gsr_x
139,mriqc,-0.0101694082841277,mriqc,gsr_x
140,mriqc,-0.0113377636298537,mriqc,gsr_x
141,mriqc,-0.0053183534182608,mriqc,gsr_x
142,mriqc,-0.0023669942747801,mriqc,gsr_x
143,mriqc,-0.0050619323737919,mriqc,gsr_x
144,mriqc,-0.0058950195088982,mriqc,gsr_x
145,mriqc,-0.0055142268538475,mriqc,gsr_x
146,mriqc,-0.0048371921293437,mriqc,gsr_x
147,mriqc,-0.0130805531516671,mriqc,gsr_x
148,mriqc,-0.0131665105000138,mriqc,gsr_x
149,mriqc,-0.0088147018104791,mriqc,gsr_x
150,mriqc,-0.0015476469416171,mriqc,gsr_x
151,mriqc,-0.0133000649511814,mriqc,gsr_x
152,mriqc,-0.0040739714168012,mriqc,gsr_x
153,mriqc,-0.0118826683610677,mriqc,gsr_x
154,mriqc,-0.0069752801209688,mriqc,gsr_x
155,mriqc,-0.0117339519783854,mriqc,gsr_x
156,mriqc,-0.0073487549088895,mriqc,gsr_x
157,mriqc,-0.0095720505341887,mriqc,gsr_x
158,mriqc,-0.0115228472277522,mriqc,gsr_x
159,mriqc,-0.014199711382389,mriqc,gsr_x
160,mriqc,-0.0161507502198219,mriqc,gsr_x
161,mriqc,-0.0109639531001448,mriqc,gsr_x
162,mriqc,-0.0129316020756959,mriqc,gsr_x
163,mriqc,-0.0180421713739633,mriqc,gsr_x
164,mriqc,-0.0141430059447884,mriqc,gsr_x
165,mriqc,-0.0166224520653486,mriqc,gsr_x
166,mriqc,-0.0160802658647298,mriqc,gsr_x
167,mriqc,-0.0111504523083567,mriqc,gsr_x
168,mriqc,-0.0150935566052794,mriqc,gsr_x
169,mriqc,-0.0192216299474239,mriqc,gsr_x
170,mriqc,-0.0008484505815431,mriqc,gsr_x
171,mriqc,-0.0138554032891988,mriqc,gsr_x
172,mriqc,-0.0113864904269576,mriqc,gsr_x
173,mriqc,-0.0012929588556289,mriqc,gsr_x
174,mriqc,0.0016646803123876,mriqc,gsr_x
175,mriqc,-0.0193261224776506,mriqc,gsr_x
176,mriqc,-0.0087728751823306,mriqc,gsr_x
177,mriqc,-0.0116655966266989,mriqc,gsr_x
