,compare,gsr_y,task,data type
0,mriqc,0.0194056946784257,mriqc,gsr_y
1,mriqc,0.0222364570945501,mriqc,gsr_y
2,mriqc,0.022891966626048,mriqc,gsr_y
3,mriqc,0.0160580053925514,mriqc,gsr_y
4,mriqc,0.0344286598265171,mriqc,gsr_y
5,mriqc,0.0338024385273456,mriqc,gsr_y
6,mriqc,0.0317997559905052,mriqc,gsr_y
7,mriqc,0.0128410616889595,mriqc,gsr_y
8,mriqc,0.013036910444498,mriqc,gsr_y
9,mriqc,0.0141813112422823,mriqc,gsr_y
10,mriqc,0.0123025961220264,mriqc,gsr_y
11,mriqc,0.0122143514454364,mriqc,gsr_y
12,mriqc,0.0135316802188754,mriqc,gsr_y
13,mriqc,0.0089578703045845,mriqc,gsr_y
14,mriqc,0.0090655330568552,mriqc,gsr_y
15,mriqc,0.0099399983882904,mriqc,gsr_y
16,mriqc,0.0203022956848144,mriqc,gsr_y
17,mriqc,0.019748555496335,mriqc,gsr_y
18,mriqc,0.0347842797636985,mriqc,gsr_y
19,mriqc,0.0338406227529048,mriqc,gsr_y
20,mriqc,0.0345175638794899,mriqc,gsr_y
21,mriqc,0.0082765938714146,mriqc,gsr_y
22,mriqc,0.0074853342957794,mriqc,gsr_y
23,mriqc,0.0244161672890186,mriqc,gsr_y
24,mriqc,0.0241771154105663,mriqc,gsr_y
25,mriqc,0.0239312481135129,mriqc,gsr_y
26,mriqc,0.0096391309052705,mriqc,gsr_y
27,mriqc,0.0089480644091963,mriqc,gsr_y
28,mriqc,0.0297631751745939,mriqc,gsr_y
29,mriqc,0.0301695596426725,mriqc,gsr_y
30,mriqc,0.018918290734291,mriqc,gsr_y
31,mriqc,0.0186853948980569,mriqc,gsr_y
32,mriqc,0.0193397123366594,mriqc,gsr_y
33,mriqc,0.0300954412668943,mriqc,gsr_y
34,mriqc,0.0287198480218648,mriqc,gsr_y
35,mriqc,0.0268553793430328,mriqc,gsr_y
36,mriqc,0.0184524934738874,mriqc,gsr_y
37,mriqc,0.0186225697398185,mriqc,gsr_y
38,mriqc,0.0188835877925157,mriqc,gsr_y
39,mriqc,0.0192965250462293,mriqc,gsr_y
40,mriqc,0.0189082119613885,mriqc,gsr_y
41,mriqc,0.0169488992542028,mriqc,gsr_y
42,mriqc,0.0186955370008945,mriqc,gsr_y
43,mriqc,0.0175543837249279,mriqc,gsr_y
44,mriqc,0.0167938191443681,mriqc,gsr_y
45,mriqc,0.0276898946613073,mriqc,gsr_y
46,mriqc,0.0280976183712482,mriqc,gsr_y
47,mriqc,0.0276898946613073,mriqc,gsr_y
48,mriqc,0.0280976183712482,mriqc,gsr_y
49,mriqc,0.027699664235115,mriqc,gsr_y
50,mriqc,0.0276898946613073,mriqc,gsr_y
51,mriqc,0.0280976183712482,mriqc,gsr_y
52,mriqc,0.027699664235115,mriqc,gsr_y
53,mriqc,0.0331375077366828,mriqc,gsr_y
54,mriqc,0.0216696839779615,mriqc,gsr_y
55,mriqc,0.0160580053925514,mriqc,gsr_y
56,mriqc,0.0195533540099859,mriqc,gsr_y
57,mriqc,0.022891966626048,mriqc,gsr_y
58,mriqc,0.0194664280861616,mriqc,gsr_y
59,mriqc,0.0024842945858836,mriqc,gsr_y
60,mriqc,0.0024238147307187,mriqc,gsr_y
61,mriqc,0.0027541816234588,mriqc,gsr_y
62,mriqc,0.0030147822108119,mriqc,gsr_y
63,mriqc,0.0025844811461865,mriqc,gsr_y
64,mriqc,0.001737552229315,mriqc,gsr_y
65,mriqc,0.024703050032258,mriqc,gsr_y
66,mriqc,0.0234189610928297,mriqc,gsr_y
67,mriqc,0.0238977707922458,mriqc,gsr_y
68,mriqc,0.021694928407669,mriqc,gsr_y
69,mriqc,0.021827669814229,mriqc,gsr_y
70,mriqc,0.0165082681924104,mriqc,gsr_y
71,mriqc,0.0231166519224643,mriqc,gsr_y
72,mriqc,0.0222697146236896,mriqc,gsr_y
73,mriqc,0.0208159908652305,mriqc,gsr_y
74,mriqc,0.0208519343286752,mriqc,gsr_y
75,mriqc,0.0195990279316902,mriqc,gsr_y
76,mriqc,0.0406715907156467,mriqc,gsr_y
77,mriqc,0.0400029830634593,mriqc,gsr_y
78,mriqc,0.0393757484853267,mriqc,gsr_y
79,mriqc,0.038539782166481,mriqc,gsr_y
80,mriqc,0.0388067215681076,mriqc,gsr_y
81,mriqc,0.023039324209094,mriqc,gsr_y
82,mriqc,0.0221414472907781,mriqc,gsr_y
83,mriqc,0.0223926305770874,mriqc,gsr_y
84,mriqc,0.021775733679533,mriqc,gsr_y
85,mriqc,0.0224854070693254,mriqc,gsr_y
86,mriqc,0.0313269160687923,mriqc,gsr_y
87,mriqc,0.029890177771449,mriqc,gsr_y
88,mriqc,0.0291396342217922,mriqc,gsr_y
89,mriqc,0.032151024788618,mriqc,gsr_y
90,mriqc,0.0314188189804554,mriqc,gsr_y
91,mriqc,0.0315531231462955,mriqc,gsr_y
92,mriqc,0.0382516384124755,mriqc,gsr_y
93,mriqc,0.038054134696722,mriqc,gsr_y
94,mriqc,0.0192965250462293,mriqc,gsr_y
95,mriqc,0.0189082119613885,mriqc,gsr_y
96,mriqc,0.0169488992542028,mriqc,gsr_y
97,mriqc,0.0173825528472661,mriqc,gsr_y
98,mriqc,0.0172156002372503,mriqc,gsr_y
99,mriqc,0.0169399809092283,mriqc,gsr_y
100,mriqc,0.0171603746712207,mriqc,gsr_y
101,mriqc,0.0169346090406179,mriqc,gsr_y
102,mriqc,0.0164237115532159,mriqc,gsr_y
103,mriqc,0.0128410616889595,mriqc,gsr_y
104,mriqc,0.013036910444498,mriqc,gsr_y
105,mriqc,0.0141813112422823,mriqc,gsr_y
106,mriqc,0.019748555496335,mriqc,gsr_y
107,mriqc,0.0203022956848144,mriqc,gsr_y
108,mriqc,0.0089578703045845,mriqc,gsr_y
109,mriqc,0.0135316802188754,mriqc,gsr_y
110,mriqc,0.0123025961220264,mriqc,gsr_y
111,mriqc,0.0099399983882904,mriqc,gsr_y
112,mriqc,0.0090655330568552,mriqc,gsr_y
113,mriqc,0.0122143514454364,mriqc,gsr_y
114,mriqc,0.0186955370008945,mriqc,gsr_y
115,mriqc,0.0338406227529048,mriqc,gsr_y
116,mriqc,0.0175543837249279,mriqc,gsr_y
117,mriqc,0.0167938191443681,mriqc,gsr_y
118,mriqc,0.0301695596426725,mriqc,gsr_y
119,mriqc,0.0297631751745939,mriqc,gsr_y
120,mriqc,0.0345175638794899,mriqc,gsr_y
121,mriqc,0.0347842797636985,mriqc,gsr_y
122,mriqc,0.0280976183712482,mriqc,gsr_y
123,mriqc,0.0300954412668943,mriqc,gsr_y
124,mriqc,0.027699664235115,mriqc,gsr_y
125,mriqc,0.0184524934738874,mriqc,gsr_y
126,mriqc,0.0287198480218648,mriqc,gsr_y
127,mriqc,0.0186225697398185,mriqc,gsr_y
128,mriqc,0.0186853948980569,mriqc,gsr_y
129,mriqc,0.0188835877925157,mriqc,gsr_y
130,mriqc,0.018918290734291,mriqc,gsr_y
131,mriqc,0.0276898946613073,mriqc,gsr_y
132,mriqc,0.0193397123366594,mriqc,gsr_y
133,mriqc,0.0268553793430328,mriqc,gsr_y
134,mriqc,0.0244161672890186,mriqc,gsr_y
135,mriqc,0.0241771154105663,mriqc,gsr_y
136,mriqc,0.0239312481135129,mriqc,gsr_y
137,mriqc,0.0192965250462293,mriqc,gsr_y
138,mriqc,0.0074853342957794,mriqc,gsr_y
139,mriqc,0.0089480644091963,mriqc,gsr_y
140,mriqc,0.0096391309052705,mriqc,gsr_y
141,mriqc,0.0169488992542028,mriqc,gsr_y
142,mriqc,0.0082765938714146,mriqc,gsr_y
143,mriqc,0.0189082119613885,mriqc,gsr_y
144,mriqc,0.0338024385273456,mriqc,gsr_y
145,mriqc,0.0344286598265171,mriqc,gsr_y
146,mriqc,0.0317997559905052,mriqc,gsr_y
147,mriqc,0.0451987646520137,mriqc,gsr_y
148,mriqc,0.044864647090435,mriqc,gsr_y
149,mriqc,0.0677212253212928,mriqc,gsr_y
150,mriqc,0.0692769512534141,mriqc,gsr_y
151,mriqc,0.0474984869360923,mriqc,gsr_y
152,mriqc,0.0683009922504425,mriqc,gsr_y
153,mriqc,0.0428970456123352,mriqc,gsr_y
154,mriqc,0.0650608167052269,mriqc,gsr_y
155,mriqc,0.0424498841166496,mriqc,gsr_y
156,mriqc,0.0648160800337791,mriqc,gsr_y
157,mriqc,0.0605114735662937,mriqc,gsr_y
158,mriqc,0.0409531034529209,mriqc,gsr_y
159,mriqc,0.0435275174677372,mriqc,gsr_y
160,mriqc,0.0533208176493644,mriqc,gsr_y
161,mriqc,0.0768217667937278,mriqc,gsr_y
162,mriqc,0.0582923740148544,mriqc,gsr_y
163,mriqc,0.0720982179045677,mriqc,gsr_y
164,mriqc,0.0555613040924072,mriqc,gsr_y
165,mriqc,0.0485001951456069,mriqc,gsr_y
